rank,image,split,gt_dir,n_gt_components,n_gt_nets,n_gt_terminal_pairs,gt_outlier_margin,inter_system_mean_f1,mean_vs_gt_f1,consensus_extra,consensus_missing,consensus_delta,pipeline_tp_f1,pipeline_net_f1,pipeline_nged,pipeline_unmatched_gt,pipeline_missing_pairs,pipeline_extra_pairs,pipeline_n_nets,pipeline_net_delta,pipeline_mode,claude_tp_f1,claude_net_f1,claude_nged,claude_unmatched_gt,claude_missing_pairs,claude_extra_pairs,claude_n_nets,claude_net_delta,claude_mode,openai_tp_f1,openai_net_f1,openai_nged,openai_unmatched_gt,openai_missing_pairs,openai_extra_pairs,openai_n_nets,openai_net_delta,openai_mode,f1_pipe_claude,f1_pipe_openai,f1_claude_openai,consensus_extra_pairs,consensus_missing_pairs
11,circuit_931.jpg,val,data/gt_val_1024,14,7,45,0.2142,0.851,0.6368,29,5,34,0.7018,0.7778,0.2903,1,5,29,6,-1,weld,0.5068,0.6296,0.2527,1,8,64,5,-2,weld,0.7018,0.7778,0.1613,1,5,29,6,-1,weld,0.7765,1.0,0.7765,c0.t0~c1013.t0; c1.t0~c1013.t0; c10.t0~c10.t1; c10.t1~c12.t0; c11.t0~c1013.t0; c2.t1~c10.t1; +23 more,c0.t0~c13.t0; c1.t0~c13.t0; c11.t0~c13.t0; c4.t1~c13.t1; c6.t0~c13.t0
12,circuit_153.jpg,val,data/gt_val_1024,14,7,45,0.2105,1.0,0.7895,24,0,24,0.7895,0.8519,0.2258,0,0,24,6,-1,weld,0.7895,0.8519,0.2258,0,0,24,6,-1,weld,0.7895,0.8519,0.2258,0,0,24,6,-1,weld,1.0,1.0,1.0,c10.t0~c10.t1; c10.t1~c11.t1; c4.t1~c10.t1; c4.t1~c5.t1; c4.t1~c8.t0; c4.t1~c9.t1; +18 more,
13,circuit_1097.jpg,val,data/gt_val_1024,10,8,15,0.2103,0.7984,0.5881,7,0,7,0.6977,0.9048,0.3,0,0,13,8,0,weld,0.5333,0.7143,0.4048,0,7,7,12,4,balanced,0.5333,0.7143,0.3571,0,7,7,12,4,balanced,0.6977,0.6977,1.0,c0.t1~c1009.t0; c1009.t1~c1010.t0; c3.t0~c1009.t1; c3.t0~c1010.t0; c4.t0~c1009.t1; c4.t0~c1010.t0; +1 more,
14,circuit_611.jpg,val,data/gt_val_1024,8,5,16,0.2,1.0,0.8,8,0,8,0.8,0.8667,0.2222,0,0,8,4,-1,weld,0.8,0.8667,0.2222,0,0,8,4,-1,weld,0.8,0.8667,0.2222,0,0,8,4,-1,weld,1.0,1.0,1.0,c0.t0~c0.t1; c0.t0~c4.t0; c0.t0~c5.t0; c0.t0~c6.t0; c0.t1~c3.t0; c3.t0~c4.t0; +2 more,
15,circuit_833.jpg,val,data/gt_val_1024,6,4,11,0.1852,1.0,0.8148,5,0,5,0.8148,0.9167,0.2,0,0,5,4,0,weld,0.8148,0.9167,0.2444,0,0,5,4,0,weld,0.8148,0.9167,0.2444,0,0,5,4,0,weld,1.0,1.0,1.0,c0.t1~c1005.t0; c1.t1~c1005.t1; c2.t0~c1005.t0; c5.t0~c1005.t0; c5.t1~c1005.t1,
16,circuit_312.jpg,val,data/gt_val_1024,10,6,24,0.1707,1.0,0.8293,0,7,7,0.8293,0.9444,0.3939,1,7,0,6,0,split,0.8293,0.9444,0.5152,1,7,0,6,0,split,0.8293,0.9444,0.3939,1,7,0,6,0,split,1.0,1.0,1.0,,c2.t1~c9.t0; c2.t1~c9.t1; c7.t0~c9.t0; c7.t0~c9.t1; c8.t1~c9.t0; c8.t1~c9.t1; +1 more
17,circuit_427.jpg,val,data/gt_val_1024,10,7,18,0.1667,1.0,0.8333,3,3,6,0.8333,0.9474,0.0,1,3,3,7,0,balanced,0.8333,0.9474,0.1111,1,3,3,7,0,balanced,0.8333,0.9474,0.1111,1,3,3,7,0,balanced,1.0,1.0,1.0,c5.t1~c1009.t0; c8.t1~c1009.t0; c9.t1~c1009.t0,c5.t1~c6.t0; c6.t0~c8.t1; c6.t0~c9.t1
18,circuit_87.jpg,val,data/gt_val_1024,14,7,45,0.134,0.5798,0.4458,12,13,25,0.5283,0.5926,0.3684,2,17,33,8,1,weld,0.5614,0.7037,0.2043,2,13,37,6,-1,weld,0.2476,0.4444,0.4468,2,32,47,5,-2,weld,0.9231,0.4132,0.4031,c0.t0~c1013.t0; c0.t1~c1014.t0; c1.t0~c1013.t0; c1.t1~c8.t0; c2.t0~c4.t0; c3.t0~c4.t0; +6 more,c0.t0~c11.t0; c0.t1~c13.t0; c1.t0~c11.t0; c10.t1~c11.t1; c10.t1~c13.t1; c11.t1~c12.t1; +7 more
19,circuit_897.jpg,val,data/gt_val_1024,8,6,13,0.1298,0.7083,0.5785,3,0,3,0.8125,0.9375,0.2787,0,0,6,6,0,weld,0.4615,0.6875,0.3651,0,7,7,8,2,balanced,0.4615,0.6875,0.3651,0,7,7,8,2,balanced,0.5625,0.5625,1.0,c0.t1~c1007.t0; c5.t0~c1007.t1; c7.t0~c1007.t1,
20,circuit_455.jpg,val,data/gt_val_1024,8,3,37,0.1256,0.6612,0.5356,1,13,14,0.4533,0.6429,0.1489,1,20,21,2,-1,weld,0.7,0.8571,0.2245,1,16,2,3,0,split,0.4533,0.6429,0.1489,1,20,21,2,-1,weld,0.4918,1.0,0.4918,c2.t1~c4.t1,c0.t0~c7.t0; c0.t1~c7.t1; c1.t0~c7.t0; c1.t1~c7.t1; c2.t0~c7.t0; c3.t0~c4.t1; +7 more
21,circuit_187.jpg,val,data/gt_val_1024,14,7,48,0.1138,0.6946,0.5808,24,7,31,0.3407,0.4444,0.2989,1,17,103,4,-3,weld,0.7009,0.8148,0.2366,1,7,28,6,-1,weld,0.7009,0.8148,0.1935,1,7,28,6,-1,weld,0.5419,0.5419,1.0,c0.t1~c1.t0; c0.t1~c12.t0; c0.t1~c2.t0; c0.t1~c3.t0; c0.t1~c6.t0; c0.t1~c8.t0; +18 more,c3.t1~c9.t0; c4.t0~c9.t0; c4.t1~c9.t1; c7.t1~c9.t0; c9.t1~c10.t0; c9.t1~c11.t0; +1 more
22,circuit_910.jpg,val,data/gt_val_1024,14,7,45,0.1103,0.8803,0.77,14,0,14,0.7895,0.8519,0.2473,0,0,24,6,-1,weld,0.7312,0.8148,0.2842,0,11,14,7,0,weld,0.7895,0.8519,0.2473,0,0,24,6,-1,weld,0.8205,1.0,0.8205,c10.t1~c11.t1; c4.t1~c5.t1; c4.t1~c8.t0; c4.t1~c9.t1; c5.t1~c10.t0; c5.t1~c7.t1; +8 more,
23,circuit_784.jpg,val,data/gt_val_1024,9,6,19,0.1096,0.9231,0.8135,5,0,5,0.7917,0.8824,0.2581,0,0,10,5,-1,weld,0.8571,0.9412,0.1562,0,1,5,6,0,weld,0.7917,0.8824,0.129,0,0,10,5,-1,weld,0.8846,1.0,0.8846,c0.t1~c3.t0; c3.t0~c5.t0; c3.t0~c6.t0; c3.t0~c7.t0; c3.t0~c8.t0,
24,circuit_198.jpg,val,data/gt_val_1024,19,8,93,0.1002,0.7421,0.6418,10,27,37,0.56,0.7778,0.4531,0,51,15,10,2,split,0.716,0.8611,0.2441,0,35,11,9,1,split,0.6495,0.8056,0.264,0,30,38,8,0,weld,0.8413,0.6203,0.7647,c10.t1~c11.t0; c11.t0~c17.t1; c11.t0~c18.t0; c11.t1~c13.t0; c5.t1~c11.t0; c7.t0~c17.t0; +4 more,c1.t1~c11.t0; c1.t1~c13.t0; c10.t1~c11.t1; c11.t0~c13.t0; c11.t0~c14.t0; c11.t0~c15.t0; +21 more
25,circuit_645.jpg,val,data/gt_val_1024,8,5,18,0.1,1.0,0.9,4,0,4,0.9,0.8667,0.2364,0,0,4,4,-1,weld,0.9,0.8667,0.2727,0,0,4,4,-1,weld,0.9,0.8667,0.2727,0,0,4,4,-1,weld,1.0,1.0,1.0,c1.t1~c5.t1; c1.t1~c7.t1; c4.t0~c5.t1; c4.t0~c7.t1,
26,circuit_595.jpg,val,data/gt_val_1024,14,7,45,0.096,0.8803,0.7844,12,0,12,0.7895,0.8519,0.1613,0,0,24,6,-1,weld,0.7742,0.8889,0.2,0,9,12,7,0,weld,0.7895,0.8519,0.1613,0,0,24,6,-1,weld,0.8205,1.0,0.8205,c3.t1~c5.t0; c3.t1~c7.t0; c3.t1~c8.t1; c5.t0~c5.t1; c5.t0~c6.t0; c5.t0~c9.t0; +6 more,
27,circuit_394.jpg,val,data/gt_val_1024,14,7,45,0.0933,0.8052,0.7119,20,0,20,0.7619,0.8148,0.3053,0,5,20,7,0,weld,0.5844,0.7037,0.2444,0,0,64,5,-2,weld,0.7895,0.8519,0.2258,0,0,24,6,-1,weld,0.7101,0.9302,0.7753,c0.t0~c1.t1; c0.t0~c10.t0; c0.t0~c3.t1; c0.t0~c7.t0; c1.t1~c2.t0; c1.t1~c3.t0; +14 more,
28,circuit_470.jpg,val,data/gt_val_1024,14,7,45,0.089,0.7931,0.7041,20,0,20,0.5333,0.6667,0.383,0,5,65,6,-1,weld,0.7895,0.8519,0.2258,0,0,24,6,-1,weld,0.7895,0.8519,0.2258,0,0,24,6,-1,weld,0.6897,0.6897,1.0,c11.t1~c13.t0; c12.t0~c13.t0; c2.t0~c13.t0; c2.t0~c2.t1; c2.t0~c4.t1; c2.t0~c9.t0; +14 more,
29,circuit_1162.jpg,val,data/gt_val_1024,18,9,58,0.0808,0.8958,0.815,5,5,10,0.9138,0.9706,0.041,1,5,5,9,0,balanced,0.7656,0.8824,0.1157,1,9,21,8,-1,weld,0.7656,0.8824,0.1157,1,9,21,8,-1,weld,0.8438,0.8438,1.0,c0.t0~c1017.t0; c1.t0~c1017.t0; c10.t0~c1017.t0; c14.t0~c1017.t0; c15.t0~c1017.t0,c0.t0~c4.t1; c1.t0~c4.t1; c4.t1~c10.t0; c4.t1~c14.t0; c4.t1~c15.t0
30,circuit_193.jpg,val,data/gt_val_1024,20,11,83,0.079,0.8787,0.7997,11,12,23,0.7889,0.925,0.3147,1,12,26,11,0,weld,0.8554,0.925,0.3379,1,12,12,13,2,balanced,0.7547,0.875,0.3793,1,23,16,13,2,split,0.9222,0.8208,0.8931,c0.t0~c1019.t0; c11.t0~c1019.t0; c17.t0~c1019.t0; c18.t0~c1019.t0; c19.t0~c1019.t0; c3.t0~c1019.t0; +5 more,c0.t0~c13.t0; c11.t0~c13.t0; c13.t0~c14.t0; c13.t0~c17.t0; c13.t0~c18.t0; c13.t0~c19.t0; +6 more
31,circuit_481.jpg,val,data/gt_val_1024,9,5,21,0.0754,0.8333,0.7579,5,0,5,0.75,0.8947,0.4706,0,0,14,5,0,weld,0.7619,0.7895,0.2778,0,5,5,9,4,balanced,0.7619,0.7895,0.2778,0,5,5,9,4,balanced,0.75,0.75,1.0,c1.t1~c1009.t0; c3.t0~c1009.t0; c5.t1~c1009.t1; c6.t0~c1009.t0; c7.t1~c1009.t1,
32,circuit_1268.jpg,val,data/gt_val_1024,14,7,45,0.0679,0.8019,0.734,0,7,7,0.6909,0.7778,0.3617,1,7,27,7,0,weld,0.8444,0.9259,0.0,1,7,7,7,0,balanced,0.6667,0.7778,0.3118,1,7,31,6,-1,weld,0.6909,0.9254,0.7895,,c10.t0~c13.t1; c12.t1~c13.t1; c3.t1~c13.t0; c4.t1~c13.t0; c6.t0~c13.t1; c7.t0~c13.t0; +1 more
33,circuit_588.jpg,val,data/gt_val_1024,13,7,46,0.0664,0.6377,0.5713,6,0,6,0.6716,0.7308,0.2558,0,1,43,5,-2,weld,0.5211,0.6923,0.2093,0,9,59,5,-2,weld,0.5211,0.6923,0.2093,0,9,59,5,-2,weld,0.4565,0.4565,1.0,c1.t0~c1.t1; c1.t1~c11.t0; c1.t1~c2.t1; c1.t1~c3.t1; c1.t1~c6.t1; c1.t1~c9.t0,
34,circuit_1.jpg,val,data/gt_val_1024,15,9,65,0.0533,0.7885,0.7352,8,11,19,0.5938,0.7353,0.3017,1,27,25,9,0,split,0.806,0.8824,0.1739,1,11,15,8,-1,weld,0.806,0.8824,0.1667,1,11,15,8,-1,weld,0.7121,0.697,0.9565,c0.t0~c1014.t0; c1.t0~c1014.t0; c12.t1~c1014.t2; c2.t0~c1014.t0; c3.t0~c1014.t0; c4.t0~c1014.t0; +2 more,c0.t0~c6.t0; c1.t0~c6.t0; c2.t0~c6.t0; c3.t0~c6.t0; c3.t1~c6.t1; c4.t0~c6.t0; +5 more
35,circuit_709.jpg,val,data/gt_val_1024,14,7,45,0.0465,0.6923,0.6458,16,0,16,0.3585,0.5556,0.3511,0,26,42,8,1,weld,0.7895,0.8519,0.2258,0,0,24,6,-1,weld,0.7895,0.8519,0.2258,0,0,24,6,-1,weld,0.5385,0.5385,1.0,c2.t0~c12.t0; c2.t0~c2.t1; c2.t0~c4.t0; c2.t0~c5.t1; c2.t1~c3.t1; c2.t1~c5.t0; +10 more,
36,circuit_538.jpg,val,data/gt_val_1024,23,16,69,0.0462,0.7062,0.66,11,14,25,0.7826,0.8367,0.3523,2,15,15,16,0,balanced,0.7429,0.7959,0.28,2,17,19,16,0,weld,0.4545,0.7143,0.3793,2,34,50,15,-1,weld,0.9571,0.5844,0.5769,c0.t1~c12.t0; c0.t2~c1022.t0; c0.t2~c1023.t0; c0.t2~c18.t0; c1022.t0~c1023.t0; c11.t0~c1022.t1; +5 more,c0.t1~c18.t0; c0.t1~c19.t0; c0.t1~c9.t0; c0.t2~c12.t0; c11.t0~c19.t1; c14.t0~c19.t1; +8 more
37,circuit_333.jpg,val,data/gt_val_1024,10,7,21,0.0458,0.7092,0.6634,6,1,7,0.8333,0.8947,0.2958,0,1,7,6,-1,weld,0.4333,0.5263,0.2647,0,8,26,4,-3,weld,0.7234,0.8421,0.2676,0,4,9,6,-1,weld,0.5758,0.9057,0.6462,c0.t0~c2.t0; c1.t0~c2.t0; c1.t1~c2.t1; c2.t0~c3.t0; c2.t0~c5.t0; c2.t0~c9.t0,c1.t1~c2.t0
38,circuit_560.jpg,val,data/gt_val_1024,19,9,69,0.0283,0.8036,0.7753,6,10,16,0.6515,0.8108,0.4436,1,26,20,11,2,split,0.8551,0.9189,0.3083,1,10,10,11,2,balanced,0.8194,0.9189,0.2519,1,10,16,9,0,weld,0.7424,0.7101,0.9583,c0.t0~c1018.t0; c1.t0~c1018.t0; c12.t0~c1018.t0; c5.t0~c1018.t0; c8.t1~c1018.t1; c9.t0~c1018.t0,c0.t0~c18.t0; c1.t0~c18.t0; c11.t0~c18.t1; c12.t0~c18.t0; c14.t0~c18.t0; c15.t0~c18.t0; +4 more
39,circuit_1079.jpg,val,data/gt_val_1024,23,16,69,0.026,0.8772,0.8512,4,7,11,0.8986,0.9592,0.3352,1,7,7,16,0,balanced,0.8551,0.898,0.4229,1,10,10,16,0,balanced,0.8,0.8776,0.3125,1,15,12,17,1,split,0.913,0.8741,0.8444,c12.t0~c1022.t0; c21.t0~c1022.t1; c22.t1~c1022.t0; c3.t1~c1022.t0,c12.t0~c17.t0; c17.t0~c22.t1; c17.t1~c19.t2; c17.t1~c21.t0; c3.t1~c17.t0; c6.t2~c17.t1; +1 more
40,circuit_437.jpg,val,data/gt_val_1024,14,11,41,0.0235,0.5889,0.5654,6,8,14,0.7021,0.8235,0.3898,1,8,20,10,-1,weld,0.4,0.6176,0.4211,1,19,47,10,-1,weld,0.5941,0.7647,0.4261,1,11,30,9,-2,weld,0.5738,0.7434,0.4496,c0.t0~c1013.t0; c10.t0~c1013.t0; c13.t0~c1013.t0; c2.t0~c1013.t0; c4.t0~c1013.t0; c4.t1~c1013.t2,c0.t0~c7.t0; c2.t0~c7.t0; c3.t0~c7.t1; c4.t0~c7.t0; c4.t1~c7.t2; c7.t0~c10.t0; +2 more
41,circuit_438.jpg,val,data/gt_val_1024,19,8,93,0.0168,0.6098,0.593,4,29,33,0.6133,0.7778,0.25,0,47,11,10,2,split,0.4742,0.6944,0.28,0,47,55,8,0,weld,0.6914,0.8333,0.2441,0,37,13,9,1,split,0.4304,0.9048,0.4941,c2.t0~c10.t1; c2.t0~c7.t0; c2.t1~c13.t1; c2.t1~c15.t1,c11.t0~c13.t1; c11.t0~c15.t1; c11.t0~c17.t1; c13.t1~c17.t1; c13.t1~c18.t1; c15.t1~c17.t1; +23 more
42,circuit_836.jpg,val,data/gt_val_1024,14,7,48,0.0163,0.7043,0.688,21,0,21,0.4229,0.5556,0.4091,0,0,131,4,-3,weld,0.8205,0.8889,0.1398,0,0,21,6,-1,weld,0.8205,0.8889,0.0538,0,0,21,6,-1,weld,0.5565,0.5565,1.0,c0.t0~c0.t1; c0.t0~c2.t1; c0.t0~c9.t0; c0.t1~c13.t0; c0.t1~c2.t0; c0.t1~c4.t0; +15 more,
43,circuit_775.jpg,val,data/gt_val_1024,24,11,142,-0.0056,0.6608,0.6664,4,40,44,0.383,0.6596,0.4824,0,106,10,17,6,split,0.7938,0.9149,0.2883,0,40,13,11,0,split,0.8226,0.9149,0.2,0,40,4,12,1,split,0.4969,0.5263,0.9593,c13.t0~c14.t1; c14.t0~c23.t2; c14.t1~c15.t0; c9.t1~c14.t0,c0.t0~c13.t0; c0.t0~c14.t0; c0.t0~c15.t0; c1.t0~c13.t0; c1.t0~c14.t0; c1.t0~c15.t0; +34 more
44,circuit_1252.jpg,val,data/gt_val_1024,23,16,69,-0.0226,0.6224,0.6449,6,13,19,0.5823,0.7879,0.4432,2,23,43,16,0,weld,0.6759,0.8081,0.3708,2,20,27,16,0,weld,0.6767,0.8081,0.4,2,24,19,18,2,split,0.5576,0.6667,0.6429,c0.t0~c1023.t0; c1.t0~c1023.t0; c12.t1~c1023.t1; c13.t1~c1023.t2; c6.t1~c1023.t1; c9.t0~c1023.t0,c0.t0~c7.t0; c0.t1~c21.t0; c1.t0~c7.t0; c12.t2~c21.t2; c16.t1~c21.t2; c19.t0~c21.t0; +7 more
45,circuit_1134.jpg,val,data/gt_val_1024,14,7,48,-0.0302,0.4959,0.5261,16,0,16,0.4683,0.6071,0.3587,0,0,109,4,-3,weld,0.3419,0.5,0.2245,0,28,49,8,1,weld,0.768,0.8571,0.2188,0,0,29,6,-1,weld,0.3363,0.6581,0.4932,c11.t0~c12.t0; c11.t0~c13.t1; c13.t0~c1013.t0; c3.t0~c11.t0; c3.t0~c3.t1; c3.t0~c5.t1; +10 more,
46,circuit_901.jpg,val,data/gt_val_1024,14,7,45,-0.0373,0.7736,0.8109,0,0,0,0.7895,0.8519,0.2258,0,0,24,6,-1,weld,0.8537,0.8889,0.0928,0,10,2,8,1,split,0.7895,0.8519,0.2258,0,0,24,6,-1,weld,0.6604,1.0,0.6604,,
47,circuit_678.jpg,val,data/gt_val_1024,19,9,69,-0.0387,0.8206,0.8593,4,1,5,0.797,0.8919,0.3182,0,16,11,10,1,split,0.9275,0.9189,0.2932,0,5,5,11,2,balanced,0.8533,0.9189,0.2519,0,5,17,9,0,weld,0.797,0.7448,0.92,c11.t1~c1018.t1; c3.t1~c1018.t0; c5.t1~c1018.t0; c6.t1~c1018.t1,c12.t1~c17.t0
48,circuit_1194.jpg,val,data/gt_val_1024,24,13,100,-0.0391,0.6464,0.6855,9,13,22,0.4247,0.7021,0.4884,0,69,15,17,4,split,0.7873,0.8723,0.2364,0,13,34,11,-2,weld,0.8447,0.9149,0.4132,0,13,19,12,-1,weld,0.479,0.5263,0.9339,c0.t0~c17.t0; c0.t0~c2.t0; c0.t0~c22.t0; c14.t0~c17.t0; c14.t0~c22.t0; c2.t0~c14.t0; +3 more,c1.t0~c2.t0; c2.t0~c10.t0; c2.t0~c11.t0; c2.t0~c23.t0; c2.t0~c3.t0; c2.t0~c4.t0; +7 more
49,circuit_1093.jpg,val,data/gt_val_1024,19,10,57,-0.0487,0.478,0.5266,6,10,16,0.6957,0.7714,0.3333,2,17,18,9,-1,weld,0.3295,0.4857,0.4237,2,14,161,6,-4,weld,0.5547,0.7429,0.36,2,19,42,8,-2,weld,0.374,0.6232,0.4366,c0.t0~c1018.t0; c1.t1~c5.t0; c12.t1~c1018.t1; c14.t0~c1018.t0; c2.t0~c1018.t0; c3.t0~c5.t0,c0.t0~c18.t0; c1.t1~c4.t0; c12.t1~c16.t1; c14.t0~c18.t0; c2.t0~c18.t0; c3.t0~c4.t0; +4 more
50,circuit_1133.jpg,val,data/gt_val_1024,13,7,42,-0.0493,0.6987,0.748,5,0,5,0.8235,0.8846,0.0562,0,0,18,6,-1,weld,0.8537,0.9231,0.0538,0,7,5,8,1,split,0.5667,0.7308,0.1954,0,8,44,5,-2,weld,0.8,0.7536,0.5424,c0.t1~c3.t0; c3.t0~c11.t1; c3.t0~c12.t0; c3.t0~c5.t0; c3.t0~c8.t0,
51,circuit_238.jpg,val,data/gt_val_1024,14,7,45,-0.0497,0.5524,0.6021,24,0,24,0.7895,0.8519,0.2258,0,0,24,6,-1,weld,0.2273,0.2222,0.4545,0,0,306,1,-6,weld,0.7895,0.8519,0.3118,0,0,24,6,-1,weld,0.3286,1.0,0.3286,c1.t0~c1.t1; c1.t0~c4.t0; c1.t0~c6.t1; c1.t0~c8.t0; c1.t1~c11.t1; c1.t1~c2.t1; +18 more,
52,circuit_980.jpg,val,data/gt_val_1024,15,9,65,-0.055,0.4305,0.4855,5,17,22,0.6519,0.8333,0.3333,0,21,26,10,1,weld,0.4298,0.6111,0.424,0,39,30,13,4,split,0.375,0.6111,0.2521,0,32,78,8,-1,weld,0.4286,0.4199,0.4431,c3.t0~c1015.t0; c3.t0~c7.t0; c6.t0~c1015.t0; c6.t0~c7.t0; c7.t0~c1015.t0,c0.t0~c5.t0; c0.t0~c7.t1; c0.t0~c8.t0; c0.t1~c7.t0; c1.t0~c5.t0; c1.t0~c7.t1; +11 more
