stem,stratum,seed,file,source_path,source_kind,sha256,bytes,n_multi_terminal_devices,pipeline_strict_failure
circuit_142,uniform,20260804,circuit_142.jpg,data/raw/circuit_142.jpg,raw,868ef0cdf9d47e1e669173575d122bf32d0d28ccce754c19cbacb593ef0ec176,206198,5,True
circuit_147,uniform,20260804,circuit_147.jpg,data/raw/circuit_147.jpg,raw,c134df0ca8a777b2e5a5c964a795e82e4b2f058989df4b269c2447cc58fcd881,83075,0,False
circuit_181,hard_core,20260804,circuit_181.jpg,data/raw/circuit_181.jpg,raw,b4b4af70e035a85d46d4cfe20884c5186cde0abaa9482ce576ed0316a7eb982e,203877,6,True
circuit_218,hard_core,20260804,circuit_218.jpg,data/raw/circuit_218.jpg,raw,4c2ee3cbff292f8bba45b4f11fea22d57a30b33004156820603f67c60ea0588d,128568,3,True
circuit_221,hard_core,20260804,circuit_221.jpg,data/raw/circuit_221.jpg,raw,3d10be00528c9d661985f97112ba018085d5681b01b2dd3504bab9c80e22d9b1,181626,0,True
circuit_225,multi_terminal,20260804,circuit_225.jpg,data/raw/circuit_225.jpg,raw,7bf1fb0c15dff0fbf0a63a8623a163cb0399f073d29fae7edfa2bad913bc196c,261991,5,True
circuit_259,multi_terminal,20260804,circuit_259.jpg,data/raw/circuit_259.jpg,raw,9cadc9108efb67c0025922846be26b9bd3ebdfe080e467258188ab8d14a299d5,215441,6,True
circuit_264,uniform,20260804,circuit_264.jpg,data/raw/circuit_264.jpg,raw,7484fbf2c3bec00d9141e77f430580ba5118d8b9fac686aac4ce45aa0a47abf7,93512,0,False
circuit_278,hard_core,20260804,circuit_278.jpg,data/raw/circuit_278.jpg,raw,558824e1ae9f0310813d282c89138b1e1c6ef2844f82d669664f02ca42024962,201640,6,True
circuit_331,hard_core,20260804,circuit_331.jpg,data/raw/circuit_331.jpg,raw,529cbdbd7e8881eb78484f74c7c6204303c474cd32e2929c48209d045433835c,199509,6,True
circuit_366,multi_terminal,20260804,circuit_366.jpg,data/raw/circuit_366.jpg,raw,27af6de1d23a4ad9392968e5c72fb57cc41849b81be4f7c18524ffe8a0969b1c,181605,5,True
circuit_388,multi_terminal,20260804,circuit_388.jpg,data/raw/circuit_388.jpg,raw,6d43d178c8e7da9e488fea728ce8c0028be7b4507b43cb93ed53ced9e3a06ce2,200659,9,True
circuit_39,hard_core,20260804,circuit_39.jpg,data/raw/circuit_39.jpg,raw,2ee221c68247839dab299c9bf8ffb51dc20f9c577d8d62751bc5357da869add2,159462,0,True
circuit_398,multi_terminal,20260804,circuit_398.jpg,data/raw/circuit_398.jpg,raw,971bd7364359be8e66f73f619fb43bc6106827ce7b4ef5ab3840c826b8990225,196555,5,True
circuit_410,hard_core,20260804,circuit_410.jpg,data/raw/circuit_410.jpg,raw,ff4e08f70bfaba08d63c4e4a80ad9e330dd84d51545d864cc24b23e6c7a7a4a6,270140,5,True
circuit_429,uniform,20260804,circuit_429.jpg,data/raw/circuit_429.jpg,raw,f4601d249ca82f439652b6b8859eb0b2c3c5bc3f7f237e8b366f978f1a2989c1,65477,0,False
circuit_486,uniform,20260804,circuit_486.jpg,data/raw/circuit_486.jpg,raw,7084ba5ca0292472f31813692f836e40f96be301233603dc3bda537748b61e72,96087,0,False
circuit_50,uniform,20260804,circuit_50.jpg,data/raw/circuit_50.jpg,raw,f88ff6a1020fec80a29934be00e57b836ea1d5396671995231a913924b1fe764,74479,0,False
circuit_553,hard_core,20260804,circuit_553.jpg,data/raw/circuit_553.jpg,raw,a1a95a5c8854a16f5a3be3a16726ec1ffbb0e0c8b98f143fb19e8c1a7c546f28,165786,0,True
circuit_556,multi_terminal,20260804,circuit_556.jpg,data/raw/circuit_556.jpg,raw,f8928c9290b83398becb9082b3f63183d79e06b4b20cc0eff6dc420a40055e91,171952,5,False
circuit_557,hard_core,20260804,circuit_557.jpg,data/raw/circuit_557.jpg,raw,43bcccd89e3669819d439a4941d420d1776a5c2a619f70a4251a3078b98fd6c5,263449,0,True
circuit_627,multi_terminal,20260804,circuit_627.jpg,data/raw/circuit_627.jpg,raw,a212aff08fe4ddda73444069ba9ed79768052a8cf47fcdd2b07673662c277e0d,320442,9,False
circuit_630,multi_terminal,20260804,circuit_630.jpg,data/raw/circuit_630.jpg,raw,ae6a0db96e8d6273096d318ccb475b3791410a7c99cd36a45ba0c124f35b03a8,199279,6,True
circuit_643,hard_core,20260804,circuit_643.jpg,data/raw/circuit_643.jpg,raw,cadd9d523a5f15514923c25f694f9d4c86eb69a155cc1267bc29c813268ed379,324051,0,True
circuit_706,multi_terminal,20260804,circuit_706.jpg,data/raw/circuit_706.jpg,raw,d3dfed9ddebe070a204dd3b5a9eb482405237f9f8422a2c529b9cfb32647032d,186637,9,True
circuit_754,multi_terminal,20260804,circuit_754.jpg,data/raw/circuit_754.jpg,raw,60a52256dea6bf11df6450c9e3e8737f5f7f4fbc1b31bfcf1713168a63e973a3,200391,9,True
circuit_763,multi_terminal,20260804,circuit_763.jpg,data/raw/circuit_763.jpg,raw,0b29e763e0a1a794e12132db1875aa4840d47b819e2645c71eae21d1069392b7,244768,5,True
circuit_778,uniform,20260804,circuit_778.jpg,data/raw/circuit_778.jpg,raw,57f7c3cfc13cab915076a1204ad7aaba92c4ffb0dfc6979c3f2b768721ef0240,207394,5,True
circuit_779,uniform,20260804,circuit_779.jpg,data/raw/circuit_779.jpg,raw,f708b4346d68641e8c8a15fcbb91c7acb5168ff466cd7c11ff94f8af659e7495,96165,0,False
circuit_78,uniform,20260804,circuit_78.jpg,data/raw/circuit_78.jpg,raw,652dd2ec28b311284769394d99f7c87004bdd86064c15d0475fe303278c3234f,77504,0,False
circuit_82,multi_terminal,20260804,circuit_82.jpg,data/raw/circuit_82.jpg,raw,d4ce2b9ea2786c6a21a776d2edc781de1be236e005fdec12ce711e8e9c6f89bf,162931,9,False
circuit_831,multi_terminal,20260804,circuit_831.jpg,data/raw/circuit_831.jpg,raw,39028e0e4a90019f90de0d0d3388818d9526200b6f9594c202b3569adbada781,189428,5,True
circuit_843,hard_core,20260804,circuit_843.jpg,data/raw/circuit_843.jpg,raw,56a67f18f3f9988970d40294a9c613824e7786c9eb45a88c161ed31d2072828b,108022,0,True
circuit_848,multi_terminal,20260804,circuit_848.jpg,data/raw/circuit_848.jpg,raw,cee94e341a568b2ca2245448701f4f4d63574047b5813059ee384f08640c9d76,253432,5,True
circuit_858,hard_core,20260804,circuit_858.jpg,data/raw/circuit_858.jpg,raw,812fefec45779873c7497734d0f0643077a1eb28c4b6da915f7564053e1ff88e,293372,0,True
circuit_887,uniform,20260804,circuit_887.jpg,data/raw/circuit_887.jpg,raw,724f741166747bb9ae53c192a12a3119a47ea0eb62e318002e0a08e6888cc624,199633,9,True
circuit_891,uniform,20260804,circuit_891.jpg,data/raw/circuit_891.jpg,raw,b22fad349af740957e36570504c03704b16035016d68b72a901db43c6d729bb4,228945,5,True
circuit_919,uniform,20260804,circuit_919.jpg,data/raw/circuit_919.jpg,raw,ba0f3d88b9a8535a36e4a77a61e02d26b4271ec5f59f23f70706aba73da42122,162846,0,False
circuit_920,hard_core,20260804,circuit_920.jpg,data/raw/circuit_920.jpg,raw,21c3f5815426a6d0449677d03c7c9f120c41b9ff8fbd81b47d9c0c6fb9fe38cd,115634,0,True
circuit_936,hard_core,20260804,circuit_936.jpg,data/raw/circuit_936.jpg,raw,23aec6552888160761d4aea3456b5761de511a9256ac3fd140945f8f6a19310f,210435,6,True
circuit_941,uniform,20260804,circuit_941.jpg,data/raw/circuit_941.jpg,raw,16ffd002783de3d6ca997c246ca851bfb723359bcd2a6ad288f761010e4f9d3b,157073,0,True
circuit_96,multi_terminal,20260804,circuit_96.jpg,data/raw/circuit_96.jpg,raw,0e25f358ebe24ca0e4fa06e02f9265768ff32cdf55bd374a1d5b0b68366f3f23,244582,9,True
circuit_98,multi_terminal,20260804,circuit_98.jpg,data/raw/circuit_98.jpg,raw,faec8db4bbf09094013cb883c2be9b824022a16fbb3af3bd7fc20fa8fed839ec,230794,9,False
circuit_981,multi_terminal,20260804,circuit_981.jpg,data/raw/circuit_981.jpg,raw,cc3a5abeefbe7967f51fa5eb29c5eb90064b57c41c942c131286422a27ab65a0,172183,6,True
circuit_985,hard_core,20260804,circuit_985.jpg,data/raw/circuit_985.jpg,raw,de6eda50f097fa255cda94dc61f36dc88adf3ba36939e759be826d57317dc4ba,195539,6,True
