best_correct_frac,best_wrong_frac,chosen_ok,chosen_pose,class,comp_id,gap_frac,image,verdict
0.1382,0.1365,0,pose4,Zener Diode,14,0.0016,circuit_1016.jpg,tied
0.0996,0.0985,0,pose6,V-DC,0,0.0012,circuit_1018.jpg,tied
0.157,0.3212,1,pose0,Capacitor,1,-0.1642,circuit_1018.jpg,correct_better
0.0977,0.0977,0,pose6,I-DC,2,0.0001,circuit_1018.jpg,tied
0.1115,0.3387,1,pose0,Resistor,3,-0.2272,circuit_1018.jpg,correct_better
0.1111,0.3491,1,pose0,Inductor,5,-0.2379,circuit_1018.jpg,correct_better
,,0,pose3,Op-Amp,0,,circuit_1076.jpg,no_correct_pose
,,0,pose1,Op-Amp,1,,circuit_1076.jpg,no_correct_pose
0.1125,0.3421,1,pose0,Resistor,2,-0.2296,circuit_1076.jpg,correct_better
,,0,pose2,Op-Amp,3,,circuit_1076.jpg,no_correct_pose
0.1099,0.3421,1,pose0,Resistor,4,-0.2322,circuit_1076.jpg,correct_better
0.1138,0.3468,1,pose0,Resistor,5,-0.233,circuit_1076.jpg,correct_better
0.0968,0.0957,0,pose6,V-DC,6,0.0011,circuit_1076.jpg,tied
0.1398,0.0934,0,pose4,Op-Amp,7,0.0464,circuit_1076.jpg,wrong_better
0.1161,0.3558,1,pose0,Inductor,8,-0.2396,circuit_1076.jpg,correct_better
0.1148,0.3549,1,pose0,Resistor,9,-0.2401,circuit_1076.jpg,correct_better
0.0993,0.0992,0,pose6,I-DC,10,0.0001,circuit_1076.jpg,tied
0.1176,0.355,1,pose0,Inductor,11,-0.2373,circuit_1076.jpg,correct_better
,,0,pose1,Op-Amp,12,,circuit_1076.jpg,no_correct_pose
0.1207,0.2566,1,pose0,Resistor,13,-0.136,circuit_1076.jpg,correct_better
0.1279,0.3684,1,pose0,Inductor,15,-0.2405,circuit_1076.jpg,correct_better
0.1713,0.3904,1,pose2,Capacitor,17,-0.2191,circuit_1076.jpg,correct_better
0.1745,0.392,1,pose2,Capacitor,18,-0.2174,circuit_1076.jpg,correct_better
0.1792,0.4055,1,pose0,Capacitor,19,-0.2263,circuit_1076.jpg,correct_better
0.1114,0.3409,1,pose0,Resistor,0,-0.2295,circuit_1077.jpg,correct_better
,,1,pose0,V-AC,1,,circuit_1077.jpg,no_wrong_pose
0.1296,0.357,1,pose0,Resistor,3,-0.2274,circuit_1077.jpg,correct_better
0.174,0.3978,1,pose0,Capacitor,4,-0.2237,circuit_1077.jpg,correct_better
0.1303,0.3639,1,pose0,Resistor,5,-0.2336,circuit_1077.jpg,correct_better
0.1245,0.2105,1,pose0,Inductor,6,-0.086,circuit_1077.jpg,correct_better
,,0,pose2,BJT-PNP,0,,circuit_1079.jpg,no_correct_pose
0.3356,0.2196,0,pose3,BJT-PNP,1,0.1161,circuit_1079.jpg,wrong_better
,,0,pose2,BJT-PNP,3,,circuit_1079.jpg,no_correct_pose
0.1763,0.1777,1,pose0,Diode,4,-0.0014,circuit_1079.jpg,tied
0.166,0.4,1,pose2,Resistor,5,-0.2341,circuit_1079.jpg,correct_better
0.2879,0.1518,0,pose6,BJT-NPN,6,0.1361,circuit_1079.jpg,wrong_better
,,0,pose2,BJT-PNP,7,,circuit_1079.jpg,no_correct_pose
0.2854,0.1489,0,pose6,BJT-NPN,8,0.1365,circuit_1079.jpg,wrong_better
0.1386,0.3759,1,pose2,Resistor,9,-0.2373,circuit_1079.jpg,correct_better
0.1513,0.3839,1,pose2,Resistor,10,-0.2326,circuit_1079.jpg,correct_better
0.1708,0.1722,1,pose0,Diode,11,-0.0014,circuit_1079.jpg,tied
0.1465,0.379,1,pose2,Resistor,13,-0.2325,circuit_1079.jpg,correct_better
0.1577,0.403,1,pose0,Inductor,17,-0.2453,circuit_1079.jpg,correct_better
0.2876,0.1568,0,pose6,BJT-NPN,18,0.1308,circuit_1079.jpg,wrong_better
0.2886,0.1497,0,pose6,BJT-NPN,19,0.1389,circuit_1079.jpg,wrong_better
0.2917,0.1562,0,pose6,BJT-NPN,20,0.1355,circuit_1079.jpg,wrong_better
0.1694,0.4049,1,pose0,Resistor,22,-0.2355,circuit_1079.jpg,correct_better
0.0988,0.0977,0,pose6,V-DC,0,0.0011,circuit_1087.jpg,tied
0.1004,0.1005,1,pose0,I-DC,1,-0.0001,circuit_1087.jpg,tied
0.1452,0.3735,1,pose0,Capacitor,2,-0.2282,circuit_1087.jpg,correct_better
0.1096,0.3556,1,pose2,Resistor,3,-0.246,circuit_1087.jpg,correct_better
0.1106,0.3477,1,pose0,Inductor,4,-0.2371,circuit_1087.jpg,correct_better
0.1148,0.3466,1,pose0,Resistor,6,-0.2318,circuit_1087.jpg,correct_better
0.1129,0.3372,1,pose0,Resistor,7,-0.2243,circuit_1087.jpg,correct_better
0.1081,0.3464,1,pose0,Inductor,8,-0.2382,circuit_1087.jpg,correct_better
0.1105,0.3522,1,pose0,Inductor,0,-0.2417,circuit_1093.jpg,correct_better
0.1918,0.1918,0,pose4,Diode,1,0.0001,circuit_1093.jpg,tied
0.1555,0.1568,1,pose0,Diode,2,-0.0014,circuit_1093.jpg,tied
0.149,0.1502,1,pose0,Diode,3,-0.0013,circuit_1093.jpg,tied
0.1136,0.3443,1,pose0,Inductor,4,-0.2306,circuit_1093.jpg,correct_better
0.163,0.1643,1,pose0,Diode,5,-0.0013,circuit_1093.jpg,tied
0.157,0.1583,1,pose0,Diode,6,-0.0014,circuit_1093.jpg,tied
0.1006,0.1002,0,pose6,I-DC,7,0.0004,circuit_1093.jpg,tied
0.1091,0.3118,1,pose0,Inductor,8,-0.2026,circuit_1093.jpg,correct_better
0.1046,0.1035,0,pose6,V-DC,9,0.0011,circuit_1093.jpg,tied
0.1411,0.1394,0,pose4,Zener Diode,10,0.0017,circuit_1093.jpg,tied
0.1773,0.3772,1,pose2,Capacitor,11,-0.1999,circuit_1093.jpg,correct_better
0.1859,0.3868,1,pose2,Capacitor,12,-0.2008,circuit_1093.jpg,correct_better
0.175,0.3772,1,pose2,Capacitor,14,-0.2022,circuit_1093.jpg,correct_better
0.1319,0.2548,1,pose2,Resistor,16,-0.123,circuit_1093.jpg,correct_better
0.1351,0.1341,0,pose4,Zener Diode,17,0.001,circuit_1093.jpg,tied
0.1582,0.1567,0,pose4,Zener Diode,18,0.0015,circuit_1093.jpg,tied
0.1059,0.1059,0,pose4,I-DC,0,0.0,circuit_1094.jpg,tied
0.0975,0.0975,1,pose0,V-DC,1,-0.0,circuit_1094.jpg,tied
0.1108,0.3421,1,pose0,Resistor,2,-0.2313,circuit_1094.jpg,correct_better
0.1511,0.3745,1,pose0,Capacitor,4,-0.2234,circuit_1094.jpg,correct_better
0.1017,0.3473,1,pose0,Inductor,5,-0.2456,circuit_1094.jpg,correct_better
0.1513,0.3673,1,pose0,Capacitor,0,-0.2161,circuit_1097.jpg,correct_better
0.1069,0.3389,1,pose0,Inductor,1,-0.232,circuit_1097.jpg,correct_better
0.1077,0.3316,1,pose2,Resistor,2,-0.2238,circuit_1097.jpg,correct_better
0.106,0.3387,1,pose2,Resistor,3,-0.2327,circuit_1097.jpg,correct_better
0.1027,0.3359,1,pose0,Inductor,5,-0.2332,circuit_1097.jpg,correct_better
0.0901,0.3804,1,pose2,V-AC,6,-0.2903,circuit_1097.jpg,correct_better
0.1413,0.368,1,pose2,Capacitor,7,-0.2267,circuit_1097.jpg,correct_better
0.0835,0.3719,1,pose0,I-AC,8,-0.2884,circuit_1097.jpg,correct_better
0.1539,0.3644,1,pose2,Capacitor,9,-0.2105,circuit_1097.jpg,correct_better
0.1397,0.1541,1,pose7,I-DC,0,-0.0144,circuit_1121.jpg,tied
0.1138,0.351,1,pose0,Inductor,1,-0.2372,circuit_1121.jpg,correct_better
0.1091,0.3575,1,pose2,Inductor,2,-0.2484,circuit_1121.jpg,correct_better
0.1102,0.3365,1,pose0,Resistor,3,-0.2264,circuit_1121.jpg,correct_better
0.1578,0.25,1,pose0,Capacitor,4,-0.0922,circuit_1121.jpg,correct_better
0.1019,0.1007,0,pose6,V-DC,6,0.0012,circuit_1121.jpg,tied
0.1117,0.3928,1,pose2,V-AC,0,-0.2811,circuit_1122.jpg,correct_better
0.1657,0.1641,0,pose4,Zener Diode,1,0.0016,circuit_1122.jpg,tied
0.105,0.1049,0,pose6,I-DC,2,0.0001,circuit_1122.jpg,tied
0.154,0.1524,0,pose4,Zener Diode,3,0.0016,circuit_1122.jpg,tied
0.1511,0.3812,1,pose0,Inductor,4,-0.23,circuit_1122.jpg,correct_better
0.1339,0.3717,1,pose0,Inductor,5,-0.2378,circuit_1122.jpg,correct_better
0.2127,0.4151,1,pose2,Capacitor,6,-0.2024,circuit_1122.jpg,correct_better
0.1377,0.3697,1,pose0,Inductor,7,-0.232,circuit_1122.jpg,correct_better
0.1843,0.1855,1,pose0,Diode,8,-0.0011,circuit_1122.jpg,tied
0.18,0.1814,1,pose0,Diode,9,-0.0013,circuit_1122.jpg,tied
0.1298,0.3201,1,pose2,Resistor,10,-0.1903,circuit_1122.jpg,correct_better
0.2082,0.4115,1,pose2,Capacitor,11,-0.2034,circuit_1122.jpg,correct_better
0.1641,0.1623,0,pose4,Zener Diode,12,0.0018,circuit_1122.jpg,tied
0.1904,0.1917,1,pose0,Diode,13,-0.0013,circuit_1122.jpg,tied
0.1742,0.1753,1,pose0,Diode,14,-0.0011,circuit_1122.jpg,tied
0.1931,0.1944,1,pose0,Diode,15,-0.0013,circuit_1122.jpg,tied
,,1,pose2,Capacitor,17,,circuit_1122.jpg,no_wrong_pose
0.1055,0.3899,1,pose2,V-AC,2,-0.2844,circuit_1124.jpg,correct_better
0.1095,0.1093,0,pose6,I-DC,3,0.0001,circuit_1124.jpg,tied
0.1131,0.3533,1,pose0,Inductor,4,-0.2403,circuit_1124.jpg,correct_better
0.1143,0.3698,1,pose0,Inductor,5,-0.2555,circuit_1124.jpg,correct_better
0.1143,0.3547,1,pose0,Inductor,6,-0.2405,circuit_1124.jpg,correct_better
0.1831,0.3867,1,pose2,Capacitor,7,-0.2036,circuit_1124.jpg,correct_better
0.1699,0.3877,1,pose2,Capacitor,8,-0.2178,circuit_1124.jpg,correct_better
0.1636,0.3802,1,pose2,Capacitor,9,-0.2165,circuit_1124.jpg,correct_better
0.1494,0.1506,1,pose0,Diode,10,-0.0012,circuit_1124.jpg,tied
0.1517,0.153,1,pose0,Diode,11,-0.0013,circuit_1124.jpg,tied
0.151,0.1486,0,pose6,Diode,12,0.0024,circuit_1124.jpg,tied
0.1586,0.16,1,pose0,Diode,13,-0.0014,circuit_1124.jpg,tied
0.158,0.1593,1,pose0,Diode,14,-0.0013,circuit_1124.jpg,tied
0.1301,0.1284,0,pose4,Zener Diode,15,0.0016,circuit_1124.jpg,tied
0.1394,0.1376,0,pose4,Zener Diode,16,0.0017,circuit_1124.jpg,tied
0.1393,0.1377,0,pose4,Zener Diode,17,0.0016,circuit_1124.jpg,tied
0.1178,0.3176,1,pose2,Resistor,18,-0.1998,circuit_1124.jpg,correct_better
0.12,0.1197,0,pose4,I-DC,0,0.0003,circuit_1127.jpg,tied
0.1336,0.3588,1,pose0,Resistor,1,-0.2252,circuit_1127.jpg,correct_better
0.1288,0.2233,1,pose2,Resistor,2,-0.0946,circuit_1127.jpg,correct_better
0.1292,0.3604,1,pose2,Resistor,3,-0.2312,circuit_1127.jpg,correct_better
0.1723,0.3976,1,pose0,Capacitor,4,-0.2253,circuit_1127.jpg,correct_better
0.1166,0.1167,1,pose0,V-DC,6,-0.0001,circuit_1127.jpg,tied
0.1865,0.3659,1,pose2,Inductor,7,-0.1794,circuit_1127.jpg,correct_better
0.1005,0.0993,0,pose6,V-DC,0,0.0011,circuit_1133.jpg,tied
0.0961,0.387,1,pose2,V-AC,1,-0.2909,circuit_1133.jpg,correct_better
0.0971,0.3829,1,pose2,V-AC,2,-0.2859,circuit_1133.jpg,correct_better
0.1566,0.3752,1,pose0,Capacitor,3,-0.2187,circuit_1133.jpg,correct_better
0.113,0.1119,0,pose6,V-DC,4,0.0011,circuit_1133.jpg,tied
0.1606,0.3721,1,pose0,Capacitor,5,-0.2116,circuit_1133.jpg,correct_better
0.1047,0.2346,1,pose2,Inductor,6,-0.1299,circuit_1133.jpg,correct_better
0.108,0.3424,1,pose2,Inductor,7,-0.2345,circuit_1133.jpg,correct_better
0.0947,0.0949,1,pose2,I-DC,8,-0.0001,circuit_1133.jpg,tied
0.1173,0.351,1,pose2,Inductor,9,-0.2338,circuit_1133.jpg,correct_better
0.1148,0.3498,1,pose2,Inductor,10,-0.235,circuit_1133.jpg,correct_better
0.1598,0.3762,1,pose0,Capacitor,11,-0.2164,circuit_1133.jpg,correct_better
0.1838,0.4014,1,pose0,Capacitor,12,-0.2176,circuit_1133.jpg,correct_better
0.1021,0.1388,1,pose2,I-AC,0,-0.0367,circuit_1134.jpg,correct_better
0.1005,0.3833,1,pose2,V-AC,1,-0.2828,circuit_1134.jpg,correct_better
0.1559,0.3765,1,pose0,Capacitor,2,-0.2206,circuit_1134.jpg,correct_better
0.1049,0.104,0,pose6,V-DC,3,0.0009,circuit_1134.jpg,tied
0.1107,0.1095,0,pose6,V-DC,4,0.0012,circuit_1134.jpg,tied
0.0996,0.0997,1,pose2,I-DC,5,-0.0,circuit_1134.jpg,tied
0.1243,0.3679,1,pose2,Inductor,7,-0.2436,circuit_1134.jpg,correct_better
0.1198,0.3679,1,pose2,Inductor,8,-0.2481,circuit_1134.jpg,correct_better
0.1132,0.3234,1,pose2,Inductor,9,-0.2103,circuit_1134.jpg,correct_better
0.1148,0.3318,1,pose2,Inductor,10,-0.217,circuit_1134.jpg,correct_better
0.1696,0.387,1,pose0,Capacitor,11,-0.2173,circuit_1134.jpg,correct_better
0.1805,0.3984,1,pose0,Capacitor,12,-0.2179,circuit_1134.jpg,correct_better
0.1741,0.396,1,pose0,Capacitor,13,-0.2219,circuit_1134.jpg,correct_better
0.1178,0.3479,1,pose0,Resistor,0,-0.2301,circuit_1135.jpg,correct_better
0.1161,0.3476,1,pose0,Inductor,1,-0.2315,circuit_1135.jpg,correct_better
0.1235,0.1223,0,pose6,V-DC,2,0.0013,circuit_1135.jpg,tied
0.1405,0.2785,1,pose2,Resistor,3,-0.138,circuit_1135.jpg,correct_better
0.1668,0.3919,1,pose0,Capacitor,5,-0.2252,circuit_1135.jpg,correct_better
0.1746,0.3952,1,pose0,Capacitor,0,-0.2207,circuit_1145.jpg,correct_better
0.1155,0.2259,1,pose2,Resistor,1,-0.1104,circuit_1145.jpg,correct_better
0.1129,0.3919,1,pose0,I-AC,2,-0.279,circuit_1145.jpg,correct_better
0.1208,0.3485,1,pose2,Inductor,4,-0.2277,circuit_1145.jpg,correct_better
0.119,0.3435,1,pose0,Resistor,5,-0.2245,circuit_1145.jpg,correct_better
,,1,pose0,V-AC,0,,circuit_1162.jpg,no_wrong_pose
0.1005,0.1004,0,pose4,I-DC,1,0.0002,circuit_1162.jpg,tied
0.1716,0.1728,1,pose0,Diode,2,-0.0013,circuit_1162.jpg,tied
0.158,0.1564,0,pose4,Zener Diode,5,0.0016,circuit_1162.jpg,tied
0.1273,0.3675,1,pose0,Inductor,6,-0.2402,circuit_1162.jpg,correct_better
0.1716,0.1728,1,pose0,Diode,7,-0.0013,circuit_1162.jpg,tied
0.1346,0.3729,1,pose0,Inductor,8,-0.2384,circuit_1162.jpg,correct_better
0.2114,0.4151,1,pose2,Capacitor,9,-0.2037,circuit_1162.jpg,correct_better
0.1554,0.1536,0,pose4,Zener Diode,10,0.0018,circuit_1162.jpg,tied
0.1562,0.1545,0,pose4,Zener Diode,11,0.0016,circuit_1162.jpg,tied
0.1703,0.1715,1,pose0,Diode,12,-0.0012,circuit_1162.jpg,tied
0.1808,0.3883,1,pose2,Capacitor,13,-0.2075,circuit_1162.jpg,correct_better
0.1638,0.1651,1,pose0,Diode,14,-0.0013,circuit_1162.jpg,tied
0.2043,0.4057,1,pose2,Capacitor,15,-0.2014,circuit_1162.jpg,correct_better
0.1267,0.3546,1,pose2,Resistor,16,-0.2279,circuit_1162.jpg,correct_better
0.1659,0.1672,1,pose0,Diode,17,-0.0014,circuit_1162.jpg,tied
0.1142,0.268,1,pose0,Resistor,0,-0.1538,circuit_1166.jpg,correct_better
0.1158,0.236,1,pose0,Resistor,1,-0.1203,circuit_1166.jpg,correct_better
0.2928,0.2456,0,pose2,BJT-PNP,2,0.0472,circuit_1166.jpg,wrong_better
,,0,pose2,BJT-PNP,3,,circuit_1166.jpg,no_correct_pose
0.2819,0.1437,0,pose6,BJT-NPN,4,0.1382,circuit_1166.jpg,wrong_better
0.3398,0.2338,0,pose2,BJT-PNP,5,0.106,circuit_1166.jpg,wrong_better
0.1647,0.1659,1,pose0,Diode,6,-0.0012,circuit_1166.jpg,tied
0.275,0.1353,0,pose6,BJT-NPN,7,0.1397,circuit_1166.jpg,wrong_better
0.1196,0.3719,1,pose2,Resistor,9,-0.2523,circuit_1166.jpg,correct_better
0.1639,0.1652,1,pose0,Diode,10,-0.0013,circuit_1166.jpg,tied
0.3389,0.2555,0,pose2,BJT-PNP,12,0.0834,circuit_1166.jpg,wrong_better
0.1284,0.3688,1,pose2,Resistor,14,-0.2404,circuit_1166.jpg,correct_better
0.2753,0.1501,0,pose6,BJT-NPN,15,0.1252,circuit_1166.jpg,wrong_better
0.1313,0.3731,1,pose2,Resistor,17,-0.2418,circuit_1166.jpg,correct_better
0.2854,0.1556,0,pose6,BJT-NPN,19,0.1298,circuit_1166.jpg,wrong_better
0.2723,0.145,0,pose6,BJT-NPN,21,0.1273,circuit_1166.jpg,wrong_better
0.1152,0.3617,1,pose2,Resistor,22,-0.2466,circuit_1166.jpg,correct_better
0.1207,0.3467,1,pose2,Resistor,6,-0.2261,circuit_1172.jpg,correct_better
0.1181,0.3475,1,pose2,Resistor,7,-0.2294,circuit_1172.jpg,correct_better
0.117,0.3451,1,pose0,Resistor,8,-0.2281,circuit_1172.jpg,correct_better
0.1079,0.3331,1,pose0,Resistor,9,-0.2252,circuit_1172.jpg,correct_better
0.1088,0.3301,1,pose2,Resistor,10,-0.2212,circuit_1172.jpg,correct_better
0.1106,0.3325,1,pose2,Resistor,11,-0.2219,circuit_1172.jpg,correct_better
0.164,0.1653,1,pose0,Diode,12,-0.0013,circuit_1172.jpg,tied
0.1535,0.1548,1,pose0,Diode,13,-0.0013,circuit_1172.jpg,tied
,,0,pose2,BJT-PNP,14,,circuit_1172.jpg,no_correct_pose
,,0,pose2,BJT-PNP,15,,circuit_1172.jpg,no_correct_pose
0.2759,0.125,0,pose6,BJT-NPN,16,0.151,circuit_1172.jpg,wrong_better
,,0,pose2,BJT-PNP,17,,circuit_1172.jpg,no_correct_pose
0.2739,0.1356,0,pose6,BJT-NPN,18,0.1382,circuit_1172.jpg,wrong_better
0.2794,0.1344,0,pose2,BJT-NPN,19,0.145,circuit_1172.jpg,wrong_better
,,0,pose2,BJT-PNP,20,,circuit_1172.jpg,no_correct_pose
0.2732,0.1341,0,pose6,BJT-NPN,21,0.1392,circuit_1172.jpg,wrong_better
0.2755,0.1265,0,pose6,BJT-NPN,22,0.149,circuit_1172.jpg,wrong_better
0.1168,0.3601,1,pose0,Resistor,0,-0.2433,circuit_1183.jpg,correct_better
0.1101,0.3909,1,pose2,V-AC,1,-0.2809,circuit_1183.jpg,correct_better
0.1677,0.2854,1,pose0,Capacitor,2,-0.1178,circuit_1183.jpg,correct_better
0.1122,0.228,1,pose2,Inductor,4,-0.1158,circuit_1183.jpg,correct_better
0.118,0.3433,1,pose2,Resistor,5,-0.2253,circuit_1183.jpg,correct_better
,,0,pose3,Op-Amp,0,,circuit_1194.jpg,no_correct_pose
,,0,pose3,Op-Amp,1,,circuit_1194.jpg,no_correct_pose
,,0,pose3,Op-Amp,2,,circuit_1194.jpg,no_correct_pose
,,0,pose2,Op-Amp,3,,circuit_1194.jpg,no_correct_pose
,,0,pose6,Op-Amp,4,,circuit_1194.jpg,no_correct_pose
0.1038,0.1027,0,pose6,V-DC,11,0.0011,circuit_1194.jpg,tied
0.1671,0.3868,1,pose2,Capacitor,12,-0.2197,circuit_1194.jpg,correct_better
0.1743,0.2613,1,pose2,Capacitor,13,-0.087,circuit_1194.jpg,correct_better
0.1696,0.3836,1,pose2,Capacitor,14,-0.214,circuit_1194.jpg,correct_better
0.1222,0.3423,1,pose0,Resistor,15,-0.2201,circuit_1194.jpg,correct_better
0.1172,0.3408,1,pose0,Resistor,16,-0.2236,circuit_1194.jpg,correct_better
0.1155,0.3451,1,pose0,Resistor,17,-0.2296,circuit_1194.jpg,correct_better
0.1187,0.3561,1,pose0,Resistor,18,-0.2374,circuit_1194.jpg,correct_better
0.1186,0.3492,1,pose0,Resistor,19,-0.2306,circuit_1194.jpg,correct_better
0.1215,0.3534,1,pose0,Inductor,20,-0.2319,circuit_1194.jpg,correct_better
0.1226,0.3552,1,pose0,Inductor,21,-0.2326,circuit_1194.jpg,correct_better
0.1234,0.365,1,pose0,Inductor,22,-0.2416,circuit_1194.jpg,correct_better
0.1001,0.0998,0,pose6,I-DC,23,0.0003,circuit_1194.jpg,tied
,,0,pose2,BJT-PNP,0,,circuit_1201.jpg,no_correct_pose
0.274,0.1465,0,pose6,BJT-NPN,1,0.1274,circuit_1201.jpg,wrong_better
,,0,pose2,BJT-PNP,2,,circuit_1201.jpg,no_correct_pose
0.1387,0.1401,1,pose2,BJT-NPN,3,-0.0014,circuit_1201.jpg,tied
0.1264,0.3608,1,pose2,Resistor,4,-0.2344,circuit_1201.jpg,correct_better
,,0,pose2,BJT-PNP,6,,circuit_1201.jpg,no_correct_pose
0.1717,0.1731,1,pose0,Diode,8,-0.0014,circuit_1201.jpg,tied
0.1265,0.3675,1,pose0,Resistor,10,-0.241,circuit_1201.jpg,correct_better
0.2792,0.2349,0,pose2,BJT-PNP,11,0.0443,circuit_1201.jpg,wrong_better
0.1394,0.1368,0,pose6,BJT-NPN,12,0.0026,circuit_1201.jpg,tied
0.1254,0.3675,1,pose2,Resistor,13,-0.2421,circuit_1201.jpg,correct_better
0.1257,0.3644,1,pose0,Resistor,15,-0.2387,circuit_1201.jpg,correct_better
0.1285,0.3116,1,pose2,Resistor,16,-0.1831,circuit_1201.jpg,correct_better
0.1785,0.1799,1,pose0,Diode,17,-0.0014,circuit_1201.jpg,tied
0.2842,0.1471,0,pose6,BJT-NPN,18,0.1371,circuit_1201.jpg,wrong_better
0.1257,0.3575,1,pose2,Resistor,20,-0.2318,circuit_1201.jpg,correct_better
0.0858,0.0857,0,pose4,I-DC,0,0.0001,circuit_1202.jpg,tied
0.1551,0.3545,1,pose0,Capacitor,1,-0.1994,circuit_1202.jpg,correct_better
0.1075,0.2214,1,pose2,Resistor,2,-0.1138,circuit_1202.jpg,correct_better
0.1113,0.343,1,pose0,Resistor,3,-0.2317,circuit_1202.jpg,correct_better
0.1032,0.2105,1,pose2,Inductor,4,-0.1073,circuit_1202.jpg,correct_better
0.0861,0.086,0,pose4,V-DC,6,0.0001,circuit_1202.jpg,tied
0.1267,0.3651,1,pose0,Resistor,0,-0.2383,circuit_1203.jpg,correct_better
,,1,pose0,V-AC,1,,circuit_1203.jpg,no_wrong_pose
0.123,0.2277,1,pose2,Inductor,2,-0.1048,circuit_1203.jpg,correct_better
,,1,pose0,V-AC,3,,circuit_1203.jpg,no_wrong_pose
0.1759,0.3874,1,pose0,Capacitor,4,-0.2114,circuit_1203.jpg,correct_better
0.1151,0.3433,1,pose2,Resistor,6,-0.2282,circuit_1203.jpg,correct_better
0.0992,0.0993,1,pose0,V-DC,0,-0.0001,circuit_1204.jpg,tied
0.0966,0.0965,0,pose4,I-DC,1,0.0002,circuit_1204.jpg,tied
0.1131,0.3459,1,pose0,Inductor,2,-0.2328,circuit_1204.jpg,correct_better
0.1686,0.3064,1,pose0,Capacitor,3,-0.1378,circuit_1204.jpg,correct_better
0.1078,0.3386,1,pose0,Resistor,5,-0.2308,circuit_1204.jpg,correct_better
0.1102,0.3391,1,pose2,Resistor,6,-0.2288,circuit_1204.jpg,correct_better
0.0944,0.0943,0,pose4,V-DC,0,0.0001,circuit_1205.jpg,tied
0.0904,0.0906,1,pose0,I-DC,1,-0.0002,circuit_1205.jpg,tied
0.108,0.3419,1,pose0,Inductor,2,-0.2338,circuit_1205.jpg,correct_better
0.1101,0.339,1,pose0,Resistor,4,-0.2289,circuit_1205.jpg,correct_better
0.156,0.3696,1,pose0,Capacitor,5,-0.2137,circuit_1205.jpg,correct_better
,,1,pose0,V-AC,0,,circuit_1209.jpg,no_wrong_pose
0.1045,0.1046,1,pose0,V-DC,1,-0.0001,circuit_1209.jpg,tied
0.1009,0.3798,1,pose0,I-AC,2,-0.2789,circuit_1209.jpg,correct_better
0.099,0.0989,0,pose4,I-DC,3,0.0,circuit_1209.jpg,tied
0.1674,0.3804,1,pose0,Capacitor,4,-0.213,circuit_1209.jpg,correct_better
,,1,pose0,Capacitor,5,,circuit_1209.jpg,no_wrong_pose
0.1622,0.3785,1,pose0,Capacitor,6,-0.2163,circuit_1209.jpg,correct_better
0.1176,0.3775,1,pose2,Inductor,7,-0.2599,circuit_1209.jpg,correct_better
0.1188,0.376,1,pose2,Inductor,8,-0.2572,circuit_1209.jpg,correct_better
0.1134,0.3788,1,pose2,Inductor,9,-0.2654,circuit_1209.jpg,correct_better
0.1723,0.3912,1,pose0,Capacitor,11,-0.2189,circuit_1209.jpg,correct_better
