image,topology_violations,n_extra_lines,ground_case,ground_mapped_gt_net,ground_ambiguous,ground_correct
circuit_303.jpg,,1,gauge_gnd_symbol,,,
circuit_312.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_318.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_324.jpg,,1,gauge_gnd_symbol,0|n5,1,0
circuit_327.jpg,,0,gauge_gnd_symbol,n1,0,0
circuit_328.jpg,,3,gauge_gnd_symbol,n8,0,0
circuit_333.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_337.jpg,,5,gauge_gnd_symbol,0,0,1
circuit_344.jpg,,3,gauge_gnd_symbol,0,0,1
circuit_35.jpg,,2,gauge_gnd_symbol,0|n3|n4|n6,1,0
circuit_350.jpg,,1,gauge_gnd_symbol,n9,0,0
circuit_355.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_356.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_361.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_372.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_374.jpg,,2,gauge_gnd_symbol,0,0,1
circuit_383.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_384.jpg,,0,gauge_gnd_symbol,n2,0,0
circuit_386.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_394.jpg,,0,gauge_gnd_symbol,0|n4,1,0
circuit_41.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_415.jpg,,5,gauge_gnd_symbol,0,0,1
circuit_417.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_427.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_437.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_438.jpg,,1,gauge_gnd_symbol,,,
circuit_439.jpg,,2,gauge_gnd_symbol,0,0,1
circuit_455.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_468.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_469.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_470.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_472.jpg,,1,assumed,n2,0,0
circuit_481.jpg,,1,gauge_gnd_symbol,,,
circuit_485.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_492.jpg,,2,gauge_gnd_symbol,0,0,1
circuit_506.jpg,,0,assumed,n1,0,0
circuit_522.jpg,,3,gauge_gnd_symbol,0,0,1
circuit_524.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_525.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_537.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_538.jpg,,2,gauge_gnd_symbol,0,0,1
circuit_555.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_560.jpg,,5,gauge_gnd_symbol,0,0,1
circuit_563.jpg,,3,gauge_gnd_symbol,n9,0,0
circuit_575.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_576.jpg,,2,gauge_gnd_symbol,0|n1,1,0
circuit_588.jpg,,1,assumed,n1,0,0
circuit_591.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_595.jpg,,2,gauge_gnd_symbol,n4,0,0
circuit_6.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_606.jpg,,2,gauge_gnd_symbol,0|n9,1,0
circuit_607.jpg,,1,gauge_gnd_symbol,n1,0,0
circuit_61.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_611.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_613.jpg,,1,gauge_gnd_symbol,n7,0,0
circuit_614.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_618.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_623.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_645.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_649.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_658.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_665.jpg,,1,gauge_gnd_symbol,0|n3,1,0
circuit_678.jpg,,3,gauge_gnd_symbol,0|n1,1,0
circuit_689.jpg,,1,gauge_gnd_symbol,0|n1,1,0
circuit_690.jpg,,2,gauge_gnd_symbol,0,0,1
circuit_707.jpg,,0,assumed,n1|n3,1,0
circuit_709.jpg,,4,gauge_gnd_symbol,0,0,1
circuit_720.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_726.jpg,,2,gauge_gnd_symbol,0|n1,1,0
circuit_730.jpg,,3,gauge_gnd_symbol,0,0,1
circuit_733.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_743.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_748.jpg,,5,gauge_gnd_symbol,0|nI,1,0
circuit_750.jpg,,2,gauge_gnd_symbol,0,0,1
circuit_755.jpg,,2,gauge_gnd_symbol,0,0,1
circuit_760.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_769.jpg,,0,gauge_gnd_symbol,0|n2|n3,1,0
circuit_775.jpg,,2,gauge_gnd_symbol,n9,0,0
circuit_784.jpg,,2,gauge_gnd_symbol,0,0,1
circuit_795.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_808.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_816.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_820.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_823.jpg,,2,gauge_gnd_symbol,0,0,1
circuit_832.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_833.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_835.jpg,,3,gauge_gnd_symbol,0|n7,1,0
circuit_836.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_856.jpg,,2,gauge_gnd_symbol,n5,0,0
circuit_862.jpg,,2,gauge_gnd_symbol,0,0,1
circuit_869.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_87.jpg,,5,gauge_gnd_symbol,0,0,1
circuit_884.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_885.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_886.jpg,,1,gauge_gnd_symbol,0|n13,1,0
circuit_895.jpg,,5,gauge_gnd_symbol,0,0,1
circuit_897.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_9.jpg,,2,gauge_gnd_symbol,0,0,1
circuit_901.jpg,,4,gauge_gnd_symbol,n4,0,0
circuit_904.jpg,,1,gauge_gnd_symbol,,,
circuit_910.jpg,,3,gauge_gnd_symbol,n1,0,0
circuit_925.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_926.jpg,,1,gauge_gnd_symbol,0|n3|n4,1,0
circuit_931.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_932.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_937.jpg,,0,gauge_gnd_symbol,0,0,1
circuit_953.jpg,,5,gauge_gnd_symbol,0,0,1
circuit_957.jpg,,1,gauge_gnd_symbol,n5,0,0
circuit_961.jpg,,1,gauge_gnd_symbol,0|n2,1,0
circuit_963.jpg,,3,gauge_gnd_symbol,0,0,1
circuit_968.jpg,,3,gauge_gnd_symbol,0,0,1
circuit_972.jpg,,1,gauge_gnd_symbol,n5,0,0
circuit_975.jpg,,1,gauge_gnd_symbol,0|n1,1,0
circuit_979.jpg,,4,gauge_gnd_symbol,n7,0,0
circuit_980.jpg,,2,gauge_gnd_symbol,0,0,1
circuit_986.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_992.jpg,,1,gauge_gnd_symbol,0,0,1
circuit_995.jpg,,2,gauge_gnd_symbol,0|n5,1,0
