image,comp_id,class,terminal,n_terminals,gt_net,pred_net,verdict,n_nodes_seen,pose,pose_dist_frac
circuit_1.jpg,13,MOSFET-N,2,3,n5,n4,swapped,3,pose6,0.1652
circuit_1.jpg,14,Zener Diode,0,2,n1,n2,swapped,2,pose4,0.1356
circuit_1.jpg,14,Zener Diode,1,2,n2,n1,swapped,2,pose4,0.1356
circuit_1016.jpg,0,V-DC,0,2,n1,n1,ok,2,pose0,0.1033
circuit_1016.jpg,0,V-DC,1,2,0,0,ok,2,pose0,0.1033
circuit_1016.jpg,1,MOSFET-P,0,3,n3,n3,ok,3,pose2,0.1634
circuit_1016.jpg,1,MOSFET-P,1,3,n6,n5,swapped,3,pose2,0.1634
circuit_1016.jpg,1,MOSFET-P,2,3,n5,n6,swapped,3,pose2,0.1634
circuit_1016.jpg,2,I-AC,0,2,n6,n6,ok,2,pose2,0.1059
circuit_1016.jpg,2,I-AC,1,2,0,0,ok,2,pose2,0.1059
circuit_1016.jpg,3,I-AC,0,2,n7,n7,ok,2,pose0,0.1029
circuit_1016.jpg,3,I-AC,1,2,0,0,ok,2,pose0,0.1029
circuit_1016.jpg,4,MOSFET-P,0,3,n1,n1,ok,3,pose2,0.1617
circuit_1016.jpg,4,MOSFET-P,1,3,n2,n3,swapped,3,pose2,0.1617
circuit_1016.jpg,4,MOSFET-P,2,3,n3,n2,swapped,3,pose2,0.1617
circuit_1016.jpg,5,MOSFET-P,0,3,n5,n7,swapped,3,pose6,0.1538
circuit_1016.jpg,5,MOSFET-P,1,3,n7,0,swapped,3,pose6,0.1538
circuit_1016.jpg,5,MOSFET-P,2,3,0,n5,swapped,3,pose6,0.1538
circuit_1016.jpg,6,V-AC,0,2,n3,n3,ok,2,pose2,0.1262
circuit_1016.jpg,6,V-AC,1,2,0,0,ok,2,pose2,0.1262
circuit_1016.jpg,7,MOSFET-N,0,3,n3,n2,swapped,3,pose6,0.1584
circuit_1016.jpg,7,MOSFET-N,1,3,n2,n4,swapped,3,pose6,0.1584
circuit_1016.jpg,7,MOSFET-N,2,3,n4,n3,swapped,3,pose6,0.1584
circuit_1016.jpg,8,MOSFET-N,0,3,n4,n3,swapped,3,pose6,0.1615
circuit_1016.jpg,8,MOSFET-N,1,3,n3,0,swapped,3,pose6,0.1615
circuit_1016.jpg,8,MOSFET-N,2,3,0,n4,swapped,3,pose6,0.1615
circuit_1016.jpg,9,V-AC,0,2,n2,n2,ok,2,pose2,0.1262
circuit_1016.jpg,9,V-AC,1,2,0,0,ok,2,pose2,0.1262
circuit_1016.jpg,10,GND,0,1,0,0,ok,1,,
circuit_1016.jpg,11,MOSFET-N,0,3,n1,n3,swapped,2,pose6,0.1566
circuit_1016.jpg,11,MOSFET-N,1,3,n3,n3,ok,2,pose6,0.1566
circuit_1016.jpg,11,MOSFET-N,2,3,n3,n1,swapped,2,pose6,0.1566
circuit_1016.jpg,12,GND,0,1,0,0,ok,1,,
circuit_1016.jpg,13,Resistor,0,2,n4,n4,ok,2,pose0,0.1337
circuit_1016.jpg,13,Resistor,1,2,n5,n5,ok,2,pose0,0.1337
circuit_1016.jpg,14,Zener Diode,0,2,n1,n2,swapped,2,pose4,0.1365
circuit_1016.jpg,14,Zener Diode,1,2,n2,n1,swapped,2,pose4,0.1365
circuit_1018.jpg,0,V-DC,0,2,0,n1,swapped,2,pose6,0.0985
circuit_1018.jpg,0,V-DC,1,2,n1,0,swapped,2,pose6,0.0985
circuit_1018.jpg,1,Capacitor,0,2,0,0,ok,2,pose0,0.157
circuit_1018.jpg,1,Capacitor,1,2,n2,n2,ok,2,pose0,0.157
circuit_1018.jpg,2,I-DC,0,2,0,n1,swapped,2,pose6,0.0977
circuit_1018.jpg,2,I-DC,1,2,n1,0,swapped,2,pose6,0.0977
circuit_1018.jpg,3,Resistor,0,2,n2,n2,ok,2,pose0,0.1115
circuit_1018.jpg,3,Resistor,1,2,n1,n1,ok,2,pose0,0.1115
circuit_1018.jpg,4,GND,0,1,0,0,ok,1,,
circuit_1018.jpg,5,Inductor,0,2,n1,n1,ok,2,pose0,0.1111
circuit_1018.jpg,5,Inductor,1,2,n2,n2,ok,2,pose0,0.1111
circuit_1076.jpg,0,Op-Amp,0,3,0,n6,swapped,3,pose3,0.1916
circuit_1076.jpg,0,Op-Amp,1,3,n5,0,swapped,3,pose3,0.1916
circuit_1076.jpg,0,Op-Amp,2,3,n6,n5,swapped,3,pose3,0.1916
circuit_1076.jpg,1,Op-Amp,0,3,0,n9,swapped,3,pose1,0.2027
circuit_1076.jpg,1,Op-Amp,1,3,n9,0,swapped,3,pose1,0.2027
circuit_1076.jpg,1,Op-Amp,2,3,n10,n10,ok,3,pose1,0.2027
circuit_1076.jpg,2,Resistor,0,2,n4,n4,ok,2,pose0,0.1125
circuit_1076.jpg,2,Resistor,1,2,n11,n11,ok,2,pose0,0.1125
circuit_1076.jpg,3,Op-Amp,0,3,0,n8,swapped,3,pose2,0.0945
circuit_1076.jpg,3,Op-Amp,1,3,n7,0,swapped,3,pose2,0.0945
circuit_1076.jpg,3,Op-Amp,2,3,n8,n7,swapped,3,pose2,0.0945
circuit_1076.jpg,4,Resistor,0,2,n10,n10,ok,2,pose0,0.1099
circuit_1076.jpg,4,Resistor,1,2,n11,n11,ok,2,pose0,0.1099
circuit_1076.jpg,5,Resistor,0,2,n2,n2,ok,2,pose0,0.1138
circuit_1076.jpg,5,Resistor,1,2,n3,n3,ok,2,pose0,0.1138
circuit_1076.jpg,6,V-DC,0,2,n1,0,swapped,2,pose6,0.0957
circuit_1076.jpg,6,V-DC,1,2,0,n1,swapped,2,pose6,0.0957
circuit_1076.jpg,7,Op-Amp,0,3,n6,n3,swapped,3,pose4,0.0934
circuit_1076.jpg,7,Op-Amp,1,3,n3,n4,swapped,3,pose4,0.0934
circuit_1076.jpg,7,Op-Amp,2,3,n4,n6,swapped,3,pose4,0.0934
circuit_1076.jpg,8,Inductor,0,2,n3,n3,ok,2,pose0,0.1161
circuit_1076.jpg,8,Inductor,1,2,n4,n4,ok,2,pose0,0.1161
circuit_1076.jpg,9,Resistor,0,2,n8,n8,ok,2,pose0,0.1148
circuit_1076.jpg,9,Resistor,1,2,n11,n11,ok,2,pose0,0.1148
circuit_1076.jpg,10,I-DC,0,2,n5,0,swapped,2,pose6,0.0992
circuit_1076.jpg,10,I-DC,1,2,0,n5,swapped,2,pose6,0.0992
circuit_1076.jpg,11,Inductor,0,2,n9,n9,ok,2,pose0,0.1176
circuit_1076.jpg,11,Inductor,1,2,n10,n10,ok,2,pose0,0.1176
circuit_1076.jpg,12,Op-Amp,0,3,0,n1,swapped,3,pose1,0.2085
circuit_1076.jpg,12,Op-Amp,1,3,n1,0,swapped,3,pose1,0.2085
circuit_1076.jpg,12,Op-Amp,2,3,n2,n2,ok,3,pose1,0.2085
circuit_1076.jpg,13,Resistor,0,2,n6,n6,ok,2,pose0,0.1207
circuit_1076.jpg,13,Resistor,1,2,n7,n7,ok,2,pose0,0.1207
circuit_1076.jpg,14,GND,0,1,0,0,ok,1,,
circuit_1076.jpg,15,Inductor,0,2,n5,n5,ok,2,pose0,0.1279
circuit_1076.jpg,15,Inductor,1,2,n6,n6,ok,2,pose0,0.1279
circuit_1076.jpg,16,GND,0,1,0,0,ok,1,,
circuit_1076.jpg,17,Capacitor,0,2,n1,n1,ok,2,pose2,0.1713
circuit_1076.jpg,17,Capacitor,1,2,n2,n2,ok,2,pose2,0.1713
circuit_1076.jpg,18,Capacitor,0,2,n7,n7,ok,2,pose2,0.1745
circuit_1076.jpg,18,Capacitor,1,2,n8,n8,ok,2,pose2,0.1745
circuit_1076.jpg,19,Capacitor,0,2,n6,n6,ok,2,pose0,0.1792
circuit_1076.jpg,19,Capacitor,1,2,n9,n9,ok,2,pose0,0.1792
circuit_1076.jpg,20,GND,0,1,0,0,ok,1,,
circuit_1076.jpg,21,GND,0,1,0,0,ok,1,,
circuit_1076.jpg,22,GND,0,1,0,0,ok,1,,
circuit_1076.jpg,23,GND,0,1,0,0,ok,1,,
circuit_1077.jpg,0,Resistor,0,2,n1,n1,ok,2,pose0,0.1114
circuit_1077.jpg,0,Resistor,1,2,n2,n2,ok,2,pose0,0.1114
circuit_1077.jpg,1,V-AC,0,2,n1,n1,ok,2,pose0,0.1171
circuit_1077.jpg,1,V-AC,1,2,0,0,ok,2,pose0,0.1171
circuit_1077.jpg,2,GND,0,1,0,0,ok,1,,
circuit_1077.jpg,3,Resistor,0,2,n2,n2,ok,2,pose0,0.1296
circuit_1077.jpg,3,Resistor,1,2,n3,n3,ok,2,pose0,0.1296
circuit_1077.jpg,4,Capacitor,0,2,n3,n3,ok,2,pose0,0.174
circuit_1077.jpg,4,Capacitor,1,2,0,0,ok,2,pose0,0.174
circuit_1077.jpg,5,Resistor,0,2,n2,n2,ok,2,pose0,0.1303
circuit_1077.jpg,5,Resistor,1,2,n4,n4,ok,2,pose0,0.1303
circuit_1077.jpg,6,Inductor,0,2,n4,n4,ok,2,pose0,0.1245
circuit_1077.jpg,6,Inductor,1,2,0,0,ok,2,pose0,0.1245
circuit_1079.jpg,0,BJT-PNP,0,3,0,0,ok,3,pose2,0.2276
circuit_1079.jpg,0,BJT-PNP,1,3,n7,n6,swapped,3,pose2,0.2276
circuit_1079.jpg,0,BJT-PNP,2,3,n6,n7,swapped,3,pose2,0.2276
circuit_1079.jpg,1,BJT-PNP,0,3,n8,n3,swapped,3,pose3,0.2196
circuit_1079.jpg,1,BJT-PNP,1,3,n6,n8,swapped,3,pose3,0.2196
circuit_1079.jpg,1,BJT-PNP,2,3,n3,n6,swapped,3,pose3,0.2196
circuit_1079.jpg,2,GND,0,1,0,0,ok,1,,
circuit_1079.jpg,3,BJT-PNP,0,3,n10,n10,ok,3,pose2,0.2157
circuit_1079.jpg,3,BJT-PNP,1,3,n11,n4,swapped,3,pose2,0.2157
circuit_1079.jpg,3,BJT-PNP,2,3,n4,n11,swapped,3,pose2,0.2157
circuit_1079.jpg,4,Diode,0,2,n12,n12,ok,2,pose0,0.1763
circuit_1079.jpg,4,Diode,1,2,n13,n13,ok,2,pose0,0.1763
circuit_1079.jpg,5,Resistor,0,2,n1,n1,ok,2,pose2,0.166
circuit_1079.jpg,5,Resistor,1,2,n2,n2,ok,2,pose2,0.166
circuit_1079.jpg,6,BJT-NPN,0,3,n5,n15,swapped,3,pose6,0.1518
circuit_1079.jpg,6,BJT-NPN,1,3,n15,0,swapped,3,pose6,0.1518
circuit_1079.jpg,6,BJT-NPN,2,3,0,n5,swapped,3,pose6,0.1518
circuit_1079.jpg,7,BJT-PNP,0,3,n15,n15,ok,3,pose2,0.1426
circuit_1079.jpg,7,BJT-PNP,1,3,n14,n5,swapped,3,pose2,0.1426
circuit_1079.jpg,7,BJT-PNP,2,3,n5,n14,swapped,3,pose2,0.1426
circuit_1079.jpg,8,BJT-NPN,0,3,n14,n10,swapped,3,pose6,0.1489
circuit_1079.jpg,8,BJT-NPN,1,3,n10,0,swapped,3,pose6,0.1489
circuit_1079.jpg,8,BJT-NPN,2,3,0,n14,swapped,3,pose6,0.1489
circuit_1079.jpg,9,Resistor,0,2,n7,n7,ok,2,pose2,0.1386
circuit_1079.jpg,9,Resistor,1,2,0,0,ok,2,pose2,0.1386
circuit_1079.jpg,10,Resistor,0,2,n2,n2,ok,2,pose2,0.1513
circuit_1079.jpg,10,Resistor,1,2,n3,n3,ok,2,pose2,0.1513
circuit_1079.jpg,11,Diode,0,2,n13,n13,ok,2,pose0,0.1708
circuit_1079.jpg,11,Diode,1,2,n14,n14,ok,2,pose0,0.1708
circuit_1079.jpg,12,V-DC (one port),0,1,n4,n4,ok,1,any,0.4084
circuit_1079.jpg,13,Resistor,0,2,n11,n11,ok,2,pose2,0.1465
circuit_1079.jpg,13,Resistor,1,2,0,0,ok,2,pose2,0.1465
circuit_1079.jpg,14,V-DC (one port),0,1,n1,n1,ok,1,any,0.3855
circuit_1079.jpg,15,V-DC (one port),0,1,n7,n7,ok,1,any,0.3899
circuit_1079.jpg,16,V-DC (one port),0,1,n2,n2,ok,1,any,0.3897
circuit_1079.jpg,17,Inductor,0,2,n4,n4,ok,2,pose0,0.1577
circuit_1079.jpg,17,Inductor,1,2,n5,n5,ok,2,pose0,0.1577
circuit_1079.jpg,18,BJT-NPN,0,3,n8,n9,swapped,3,pose6,0.1568
circuit_1079.jpg,18,BJT-NPN,1,3,n9,0,swapped,3,pose6,0.1568
circuit_1079.jpg,18,BJT-NPN,2,3,0,n8,swapped,3,pose6,0.1568
circuit_1079.jpg,19,BJT-NPN,0,3,n1,n12,swapped,3,pose6,0.1497
circuit_1079.jpg,19,BJT-NPN,1,3,n12,n5,swapped,3,pose6,0.1497
circuit_1079.jpg,19,BJT-NPN,2,3,n5,n1,swapped,3,pose6,0.1497
circuit_1079.jpg,20,BJT-NPN,0,3,n10,n9,swapped,3,pose6,0.1562
circuit_1079.jpg,20,BJT-NPN,1,3,n9,0,swapped,3,pose6,0.1562
circuit_1079.jpg,20,BJT-NPN,2,3,0,n10,swapped,3,pose6,0.1562
circuit_1079.jpg,21,V-DC (one port),0,1,n5,n5,ok,1,any,0.3792
circuit_1079.jpg,22,Resistor,0,2,n3,n3,ok,2,pose0,0.1694
circuit_1079.jpg,22,Resistor,1,2,n4,n4,ok,2,pose0,0.1694
circuit_1087.jpg,0,V-DC,0,2,n1,0,swapped,2,pose6,0.0977
circuit_1087.jpg,0,V-DC,1,2,0,n1,swapped,2,pose6,0.0977
circuit_1087.jpg,1,I-DC,0,2,n3,n3,ok,2,pose0,0.1004
circuit_1087.jpg,1,I-DC,1,2,n5,n5,ok,2,pose0,0.1004
circuit_1087.jpg,2,Capacitor,0,2,0,0,ok,2,pose0,0.1452
circuit_1087.jpg,2,Capacitor,1,2,n3,n3,ok,2,pose0,0.1452
circuit_1087.jpg,3,Resistor,0,2,n4,n4,ok,2,pose2,0.1096
circuit_1087.jpg,3,Resistor,1,2,n5,n5,ok,2,pose2,0.1096
circuit_1087.jpg,4,Inductor,0,2,n2,n2,ok,2,pose0,0.1106
circuit_1087.jpg,4,Inductor,1,2,n3,n3,ok,2,pose0,0.1106
circuit_1087.jpg,5,GND,0,1,0,0,ok,1,,
circuit_1087.jpg,6,Resistor,0,2,0,0,ok,2,pose0,0.1148
circuit_1087.jpg,6,Resistor,1,2,n1,n1,ok,2,pose0,0.1148
circuit_1087.jpg,7,Resistor,0,2,n1,n1,ok,2,pose0,0.1129
circuit_1087.jpg,7,Resistor,1,2,n2,n2,ok,2,pose0,0.1129
circuit_1087.jpg,8,Inductor,0,2,n3,n3,ok,2,pose0,0.1081
circuit_1087.jpg,8,Inductor,1,2,n4,n4,ok,2,pose0,0.1081
circuit_1093.jpg,0,Inductor,0,2,n6,n6,ok,2,pose0,0.1105
circuit_1093.jpg,0,Inductor,1,2,n7,n7,ok,2,pose0,0.1105
circuit_1093.jpg,1,Diode,0,2,n3,n4,swapped,2,pose4,0.1918
circuit_1093.jpg,1,Diode,1,2,n4,n3,swapped,2,pose4,0.1918
circuit_1093.jpg,2,Diode,0,2,n4,n4,ok,2,pose0,0.1555
circuit_1093.jpg,2,Diode,1,2,n7,n7,ok,2,pose0,0.1555
circuit_1093.jpg,3,Diode,0,2,n3,n3,ok,2,pose0,0.149
circuit_1093.jpg,3,Diode,1,2,n5,n5,ok,2,pose0,0.149
circuit_1093.jpg,4,Inductor,0,2,n2,n2,ok,2,pose0,0.1136
circuit_1093.jpg,4,Inductor,1,2,n3,n3,ok,2,pose0,0.1136
circuit_1093.jpg,5,Diode,0,2,n2,n2,ok,2,pose0,0.163
circuit_1093.jpg,5,Diode,1,2,n9,n9,ok,2,pose0,0.163
circuit_1093.jpg,6,Diode,0,2,n5,n5,ok,2,pose0,0.157
circuit_1093.jpg,6,Diode,1,2,n8,n8,ok,2,pose0,0.157
circuit_1093.jpg,7,I-DC,0,2,n1,0,swapped,2,pose6,0.1002
circuit_1093.jpg,7,I-DC,1,2,0,n1,swapped,2,pose6,0.1002
circuit_1093.jpg,8,Inductor,0,2,n4,n4,ok,2,pose0,0.1091
circuit_1093.jpg,8,Inductor,1,2,n5,n5,ok,2,pose0,0.1091
circuit_1093.jpg,9,V-DC,0,2,0,n6,swapped,2,pose6,0.1035
circuit_1093.jpg,9,V-DC,1,2,n6,0,swapped,2,pose6,0.1035
circuit_1093.jpg,10,Zener Diode,0,2,n4,n8,swapped,2,pose4,0.1394
circuit_1093.jpg,10,Zener Diode,1,2,n8,n4,swapped,2,pose4,0.1394
circuit_1093.jpg,11,Capacitor,0,2,n1,n1,ok,2,pose2,0.1773
circuit_1093.jpg,11,Capacitor,1,2,n2,n2,ok,2,pose2,0.1773
circuit_1093.jpg,12,Capacitor,0,2,0,0,ok,2,pose2,0.1859
circuit_1093.jpg,12,Capacitor,1,2,n4,n4,ok,2,pose2,0.1859
circuit_1093.jpg,13,GND,0,1,0,0,ok,1,,
circuit_1093.jpg,14,Capacitor,0,2,n7,n7,ok,2,pose2,0.175
circuit_1093.jpg,14,Capacitor,1,2,n8,n8,ok,2,pose2,0.175
circuit_1093.jpg,15,GND,0,1,0,0,ok,1,,
circuit_1093.jpg,16,Resistor,0,2,0,0,ok,2,pose2,0.1319
circuit_1093.jpg,16,Resistor,1,2,n5,n5,ok,2,pose2,0.1319
circuit_1093.jpg,17,Zener Diode,0,2,n2,n4,swapped,2,pose4,0.1341
circuit_1093.jpg,17,Zener Diode,1,2,n4,n2,swapped,2,pose4,0.1341
circuit_1093.jpg,18,Zener Diode,0,2,n9,n7,swapped,2,pose4,0.1567
circuit_1093.jpg,18,Zener Diode,1,2,n7,n9,swapped,2,pose4,0.1567
circuit_1094.jpg,0,I-DC,0,2,n1,n2,swapped,2,pose4,0.1059
circuit_1094.jpg,0,I-DC,1,2,n2,n1,swapped,2,pose4,0.1059
circuit_1094.jpg,1,V-DC,0,2,n3,n3,ok,2,pose0,0.0975
circuit_1094.jpg,1,V-DC,1,2,0,0,ok,2,pose0,0.0975
circuit_1094.jpg,2,Resistor,0,2,n2,n2,ok,2,pose0,0.1108
circuit_1094.jpg,2,Resistor,1,2,n3,n3,ok,2,pose0,0.1108
circuit_1094.jpg,3,GND,0,1,0,0,ok,1,,
circuit_1094.jpg,4,Capacitor,0,2,n3,n3,ok,2,pose0,0.1511
circuit_1094.jpg,4,Capacitor,1,2,0,0,ok,2,pose0,0.1511
circuit_1094.jpg,5,Inductor,0,2,n1,n1,ok,2,pose0,0.1017
circuit_1094.jpg,5,Inductor,1,2,0,0,ok,2,pose0,0.1017
circuit_1097.jpg,0,Capacitor,0,2,n4,n4,ok,2,pose0,0.1513
circuit_1097.jpg,0,Capacitor,1,2,n5,n5,ok,2,pose0,0.1513
circuit_1097.jpg,1,Inductor,0,2,n1,n1,ok,2,pose0,0.1069
circuit_1097.jpg,1,Inductor,1,2,n2,n2,ok,2,pose0,0.1069
circuit_1097.jpg,2,Resistor,0,2,n1,n1,ok,2,pose2,0.1077
circuit_1097.jpg,2,Resistor,1,2,n7,n7,ok,2,pose2,0.1077
circuit_1097.jpg,3,Resistor,0,2,n3,n3,ok,2,pose2,0.106
circuit_1097.jpg,3,Resistor,1,2,0,0,ok,2,pose2,0.106
circuit_1097.jpg,4,GND,0,1,0,0,ok,1,,
circuit_1097.jpg,5,Inductor,0,2,n6,n6,ok,2,pose0,0.1027
circuit_1097.jpg,5,Inductor,1,2,0,0,ok,2,pose0,0.1027
circuit_1097.jpg,6,V-AC,0,2,n3,n3,ok,2,pose2,0.0901
circuit_1097.jpg,6,V-AC,1,2,n4,n4,ok,2,pose2,0.0901
circuit_1097.jpg,7,Capacitor,0,2,n2,n2,ok,2,pose2,0.1413
circuit_1097.jpg,7,Capacitor,1,2,n3,n3,ok,2,pose2,0.1413
circuit_1097.jpg,8,I-AC,0,2,0,0,ok,2,pose0,0.0835
circuit_1097.jpg,8,I-AC,1,2,n5,n5,ok,2,pose0,0.0835
circuit_1097.jpg,9,Capacitor,0,2,n7,n7,ok,2,pose2,0.1539
circuit_1097.jpg,9,Capacitor,1,2,n6,n6,ok,2,pose2,0.1539
circuit_1121.jpg,0,I-DC,0,2,n1,n1,ok,2,pose7,0.1397
circuit_1121.jpg,0,I-DC,1,2,n2,n2,ok,2,pose7,0.1397
circuit_1121.jpg,1,Inductor,0,2,n2,n2,ok,2,pose0,0.1138
circuit_1121.jpg,1,Inductor,1,2,n3,n3,ok,2,pose0,0.1138
circuit_1121.jpg,2,Inductor,0,2,n5,n5,ok,2,pose2,0.1091
circuit_1121.jpg,2,Inductor,1,2,n3,n3,ok,2,pose2,0.1091
circuit_1121.jpg,3,Resistor,0,2,n3,n3,ok,2,pose0,0.1102
circuit_1121.jpg,3,Resistor,1,2,n4,n4,ok,2,pose0,0.1102
circuit_1121.jpg,4,Capacitor,0,2,0,0,ok,2,pose0,0.1578
circuit_1121.jpg,4,Capacitor,1,2,n5,n5,ok,2,pose0,0.1578
circuit_1121.jpg,5,GND,0,1,0,0,ok,1,,
circuit_1121.jpg,6,V-DC,0,2,n1,n4,swapped,2,pose6,0.1007
circuit_1121.jpg,6,V-DC,1,2,n4,n1,swapped,2,pose6,0.1007
circuit_1122.jpg,0,V-AC,0,2,n1,n1,ok,2,pose2,0.1117
circuit_1122.jpg,0,V-AC,1,2,0,0,ok,2,pose2,0.1117
circuit_1122.jpg,1,Zener Diode,0,2,n3,n4,swapped,2,pose4,0.1641
circuit_1122.jpg,1,Zener Diode,1,2,n4,n3,swapped,2,pose4,0.1641
circuit_1122.jpg,2,I-DC,0,2,0,n6,swapped,2,pose6,0.1049
circuit_1122.jpg,2,I-DC,1,2,n6,0,swapped,2,pose6,0.1049
circuit_1122.jpg,3,Zener Diode,0,2,n2,0,swapped,2,pose4,0.1524
circuit_1122.jpg,3,Zener Diode,1,2,0,n2,swapped,2,pose4,0.1524
circuit_1122.jpg,4,Inductor,0,2,n4,n4,ok,2,pose0,0.1511
circuit_1122.jpg,4,Inductor,1,2,n5,n5,ok,2,pose0,0.1511
circuit_1122.jpg,5,Inductor,0,2,n7,n7,ok,2,pose0,0.1339
circuit_1122.jpg,5,Inductor,1,2,n8,n8,ok,2,pose0,0.1339
circuit_1122.jpg,6,Capacitor,0,2,n2,n2,ok,2,pose2,0.2127
circuit_1122.jpg,6,Capacitor,1,2,n3,n3,ok,2,pose2,0.2127
circuit_1122.jpg,7,Inductor,0,2,n1,n1,ok,2,pose0,0.1377
circuit_1122.jpg,7,Inductor,1,2,n2,n2,ok,2,pose0,0.1377
circuit_1122.jpg,8,Diode,0,2,n4,n4,ok,2,pose0,0.1843
circuit_1122.jpg,8,Diode,1,2,n8,n8,ok,2,pose0,0.1843
circuit_1122.jpg,9,Diode,0,2,0,0,ok,2,pose0,0.18
circuit_1122.jpg,9,Diode,1,2,n7,n7,ok,2,pose0,0.18
circuit_1122.jpg,10,Resistor,0,2,n5,n5,ok,2,pose2,0.1298
circuit_1122.jpg,10,Resistor,1,2,0,0,ok,2,pose2,0.1298
circuit_1122.jpg,11,Capacitor,0,2,0,0,ok,2,pose2,0.2082
circuit_1122.jpg,11,Capacitor,1,2,n4,n4,ok,2,pose2,0.2082
circuit_1122.jpg,12,Zener Diode,0,2,n4,n7,swapped,2,pose4,0.1623
circuit_1122.jpg,12,Zener Diode,1,2,n7,n4,swapped,2,pose4,0.1623
circuit_1122.jpg,13,Diode,0,2,n2,n2,ok,2,pose0,0.1904
circuit_1122.jpg,13,Diode,1,2,n4,n4,ok,2,pose0,0.1904
circuit_1122.jpg,14,Diode,0,2,n5,n5,ok,2,pose0,0.1742
circuit_1122.jpg,14,Diode,1,2,n8,n8,ok,2,pose0,0.1742
circuit_1122.jpg,15,Diode,0,2,n3,n3,ok,2,pose0,0.1931
circuit_1122.jpg,15,Diode,1,2,n5,n5,ok,2,pose0,0.1931
circuit_1122.jpg,16,GND,0,1,0,0,ok,1,,
circuit_1122.jpg,17,Capacitor,0,2,n6,n6,ok,2,pose2,0.194
circuit_1122.jpg,17,Capacitor,1,2,n7,n7,ok,2,pose2,0.194
circuit_1122.jpg,18,GND,0,1,0,0,ok,1,,
circuit_1124.jpg,0,GND,0,1,0,0,ok,1,,
circuit_1124.jpg,1,GND,0,1,0,0,ok,1,,
circuit_1124.jpg,2,V-AC,0,2,0,0,ok,2,pose2,0.1055
circuit_1124.jpg,2,V-AC,1,2,n4,n4,ok,2,pose2,0.1055
circuit_1124.jpg,3,I-DC,0,2,n1,0,swapped,2,pose6,0.1093
circuit_1124.jpg,3,I-DC,1,2,0,n1,swapped,2,pose6,0.1093
circuit_1124.jpg,4,Inductor,0,2,n4,n4,ok,2,pose0,0.1131
circuit_1124.jpg,4,Inductor,1,2,n5,n5,ok,2,pose0,0.1131
circuit_1124.jpg,5,Inductor,0,2,n2,n2,ok,2,pose0,0.1143
circuit_1124.jpg,5,Inductor,1,2,n3,n3,ok,2,pose0,0.1143
circuit_1124.jpg,6,Inductor,0,2,n7,n7,ok,2,pose0,0.1143
